time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
currently,RB,TIMELINE_REGEX,TIME,time_reference,"He currently resides in Los Angeles, United States.",2,0,,26590547
1996,CD,YEAR_REGEX_1,TIME,time_reference,"In 1996, he won the title of US DMC Champion, his first year entering the tournament.",3,0,,26590547
first year,JJ NN,ORDINAL_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"In 1996, he won the title of US DMC Champion, his first year entering the tournament.",3,0,,26590547
four years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"Swamp toured with Beck for four years and later broke away into a solo career with his release ""Never is Now"" in 2001.",4,0,,26590547
Now,RB,TIMELINE_REGEX,TIME,time_reference,"Swamp toured with Beck for four years and later broke away into a solo career with his release ""Never is Now"" in 2001.",4,0,,26590547
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Swamp toured with Beck for four years and later broke away into a solo career with his release ""Never is Now"" in 2001.",4,0,,26590547
Now,RB,TIMELINE_REGEX,TIME,time_reference,"Alternative Press gave ""Never is Now"" an 8/10 rating.",5,0,,26590547
2021,CD,YEAR_REGEX_1,TIME,time_reference,"DJ Swamp released a new single in 2021  ""Wearn' My Mask""",2,2,,26590547
1996,CD,YEAR_REGEX_1,TIME,time_reference,== 1996 US DMC tournament ==,0,3,== 1996 US DMC tournament ==,26590547
1996,CD,YEAR_REGEX_1,TIME,time_reference,"In 1996, as a first time entry, he won the DMC US DJ Championship.",0,4,== 1996 US DMC tournament ==,26590547
the 1996,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"After winning the 1996 US DMC Championships, Swamp found himself still driving a street sweeper for a living in Ohio.",0,6,== Career with Beck ==,26590547
day,NN,TIME_UNIT_REGEX,TIME,time_reference,He waited for Beck all day but never got to meet him.,3,6,== Career with Beck ==,26590547
A few weeks,DT JJ NNS,INARTICLE_REGEX PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,A few weeks later Beck called Swamp,5,6,== Career with Beck ==,26590547
