time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
"December 30 , 1934","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,0
1954,CD,YEAR_REGEX_1,TIME,time_reference,2,1
1957,CD,YEAR_REGEX_1,TIME,time_reference,3,1
1961,CD,YEAR_REGEX_1,TIME,time_reference,4,1
the 1970s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,2
the 1980s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,2
1990,CD,YEAR_REGEX_1,TIME,time_reference,1,2
2017,CD,YEAR_REGEX_1,TIME,time_reference,1,2
"December 30 , 1934","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,4
the 1960s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,1,4
1948–1952,CD,YEAR_REGEX_1,TIME,time_reference,1,6
1948,CD,YEAR_REGEX_1,TIME,time_reference,2,7
1949,CD,YEAR_REGEX_1,TIME,time_reference,4,7
1949,CD,YEAR_REGEX_1,TIME,time_reference,6,7
1949,CD,YEAR_REGEX_1,TIME,time_reference,6,7
1950,CD,YEAR_REGEX_1,TIME,time_reference,6,7
1950,CD,YEAR_REGEX_1,TIME,time_reference,7,7
1950,CD,YEAR_REGEX_1,TIME,time_reference,7,7
1951,CD,YEAR_REGEX_1,TIME,time_reference,7,7
1950,CD,YEAR_REGEX_1,TIME,time_reference,8,7
1950,CD,YEAR_REGEX_1,TIME,time_reference,8,7
1951,CD,YEAR_REGEX_1,TIME,time_reference,8,7
1951,CD,YEAR_REGEX_1,TIME,time_reference,8,7
1952,CD,YEAR_REGEX_1,TIME,time_reference,8,7
1952,CD,YEAR_REGEX_1,TIME,time_reference,8,7
1953–1962,CD,YEAR_REGEX_1,TIME,time_reference,1,8
1953,CD,YEAR_REGEX_1,TIME,time_reference,2,9
1954,CD,YEAR_REGEX_1,TIME,time_reference,3,9
1954,CD,YEAR_REGEX_1,TIME,time_reference,5,9
1955,CD,YEAR_REGEX_1,TIME,time_reference,6,9
1955,CD,YEAR_REGEX_1,TIME,time_reference,6,9
1956,CD,YEAR_REGEX_1,TIME,time_reference,0,10
1956,CD,YEAR_REGEX_1,TIME,time_reference,0,10
1957,CD,YEAR_REGEX_1,TIME,time_reference,1,10
1957,CD,YEAR_REGEX_1,TIME,time_reference,2,10
1957,CD,YEAR_REGEX_1,TIME,time_reference,3,10
1957,CD,YEAR_REGEX_1,TIME,time_reference,4,10
20th Century,JJ NNP,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,4,10
1958,CD,YEAR_REGEX_1,TIME,time_reference,6,10
1958,CD,YEAR_REGEX_1,TIME,time_reference,8,10
momentum,NN,TIMELINE_REGEX,TIME,time_reference,9,10
1958,CD,YEAR_REGEX_1,TIME,time_reference,9,10
1960,CD,YEAR_REGEX_1,TIME,time_reference,10,10
1961,CD,YEAR_REGEX_1,TIME,time_reference,11,10
1962,CD,YEAR_REGEX_1,TIME,time_reference,12,10
1963,CD,YEAR_REGEX_1,TIME,time_reference,13,10
1963–1976,CD,YEAR_REGEX_1,TIME,time_reference,1,11
the 1960s,DT NNS,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,1,12
1963,CD,YEAR_REGEX_1,TIME,time_reference,1,12
1963,CD,YEAR_REGEX_1,TIME,time_reference,1,12
1965,CD,YEAR_REGEX_1,TIME,time_reference,0,13
1965,CD,YEAR_REGEX_1,TIME,time_reference,1,13
Sunset,NNP,DAY_TIME_REGEX,TIME,time_reference,1,13
Days,NNP,TIME_UNIT_REGEX,TIME,time_reference,1,13
1965,CD,YEAR_REGEX_1,TIME,time_reference,0,14
1965,CD,YEAR_REGEX_1,TIME,time_reference,0,15
the 1966,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,15
1966,CD,YEAR_REGEX_1,TIME,time_reference,1,15
Sundown,NNP,DAY_TIME_REGEX,TIME,time_reference,1,15
1967,CD,YEAR_REGEX_1,TIME,time_reference,1,15
1969,CD,YEAR_REGEX_1,TIME,time_reference,3,15
1969,CD,YEAR_REGEX_1,TIME,time_reference,5,15
1971,CD,YEAR_REGEX_1,TIME,time_reference,5,15
1971,CD,YEAR_REGEX_1,TIME,time_reference,5,15
1971,CD,YEAR_REGEX_1,TIME,time_reference,5,15
1972,CD,YEAR_REGEX_1,TIME,time_reference,6,15
1973,CD,YEAR_REGEX_1,TIME,time_reference,6,15
1975,CD,YEAR_REGEX_1,TIME,time_reference,6,15
1976,CD,YEAR_REGEX_1,TIME,time_reference,6,15
1978,CD,YEAR_REGEX_1,TIME,time_reference,6,15
1981,CD,YEAR_REGEX_1,TIME,time_reference,6,15
1976,CD,YEAR_REGEX_1,TIME,time_reference,7,15
1978–1989,CD,YEAR_REGEX_1,TIME,time_reference,1,16
1982,CD,YEAR_REGEX_1,TIME,time_reference,0,17
1983,CD,YEAR_REGEX_1,TIME,time_reference,2,17
1987,CD,YEAR_REGEX_1,TIME,time_reference,3,17
1988,CD,YEAR_REGEX_1,TIME,time_reference,3,17
1988,CD,YEAR_REGEX_1,TIME,time_reference,3,17
1988,CD,YEAR_REGEX_1,TIME,time_reference,3,17
1988,CD,YEAR_REGEX_1,TIME,time_reference,3,17
1990,CD,YEAR_REGEX_1,TIME,time_reference,4,17
1991,CD,YEAR_REGEX_1,TIME,time_reference,4,17
1990–2004,CD,YEAR_REGEX_1,TIME,time_reference,1,18
1990–91,CD,YEAR_REGEX_1,TIME,time_reference,0,19
the 1992,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,0,19
1992,CD,YEAR_REGEX_1,TIME,time_reference,0,20
1993,CD,YEAR_REGEX_1,TIME,time_reference,0,20
1994,CD,YEAR_REGEX_1,TIME,time_reference,0,20
1995,CD,YEAR_REGEX_1,TIME,time_reference,0,20
1995,CD,YEAR_REGEX_1,TIME,time_reference,2,20
1995,CD,YEAR_REGEX_1,TIME,time_reference,2,20
1995,CD,YEAR_REGEX_1,TIME,time_reference,2,20
1996,CD,YEAR_REGEX_1,TIME,time_reference,2,20
1997,CD,YEAR_REGEX_1,TIME,time_reference,2,20
1997,CD,YEAR_REGEX_1,TIME,time_reference,2,20
1998,CD,YEAR_REGEX_1,TIME,time_reference,2,20
1997 and 2000,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,0,21
2004,CD,YEAR_REGEX_1,TIME,time_reference,1,21
the 1965,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,3,21
2004,CD,YEAR_REGEX_1,TIME,time_reference,0,22
2005–present,CD,YEAR_REGEX_1,TIME,time_reference,0,23
2011,CD,YEAR_REGEX_1,TIME,time_reference,0,24
2012,CD,YEAR_REGEX_1,TIME,time_reference,0,24
2014,CD,YEAR_REGEX_1,TIME,time_reference,0,24
2017,CD,YEAR_REGEX_1,TIME,time_reference,1,24
1956,CD,YEAR_REGEX_1,TIME,time_reference,0,26
the following year,DT JJ NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,0,26
1960,CD,YEAR_REGEX_1,TIME,time_reference,1,26
later years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,2,26
previously,RB,TIMELINE_REGEX,TIME,time_reference,2,26
the 1960,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,2,26
1983,CD,YEAR_REGEX_1,TIME,time_reference,4,26
2012,CD,YEAR_REGEX_1,TIME,time_reference,5,26
October 2014,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,6,26
of February 2015,IN NNP CD,PREFIX_REGEX_1 MONTH_REGEX YEAR_REGEX_1,MODIFIER TIME TIME,time_reference,7,26
June 2021,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,8,26
years,NNS,TIME_UNIT_REGEX,TIME,time_reference,13,26
2006,CD,YEAR_REGEX_1,TIME,time_reference,0,33
1985,CD,YEAR_REGEX_1,TIME,time_reference,0,34
2010,CD,YEAR_REGEX_1,TIME,time_reference,0,35
2007,CD,YEAR_REGEX_1,TIME,time_reference,1,35
1991,CD,YEAR_REGEX_1,TIME,time_reference,0,36
