time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
2010,CD,YEAR_REGEX_1,TIME,time_reference,Mike Fantastic is a British electropop artist formed in 2010.,0,0,,32095280
May 2010,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Mike Fantastic was initially made notable by their début on Britain's Got Talent in May 2010, and have since released an album and two singles.",1,0,,32095280
the 2010,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"The band's first performance and début TV appearance was as an audition for the 2010 series of Britain's Got Talent, in which they were well received.",0,2,== History ==,32095280
November 2011,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In November 2011, the band ended for a short period due to management issues, returning in February 2012 with Owen being the only remaining member.",0,3,== History ==,32095280
February 2012,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In November 2011, the band ended for a short period due to management issues, returning in February 2012 with Owen being the only remaining member.",0,3,== History ==,32095280
decades,NNS,TIME_UNIT_REGEX,TIME,time_reference,"The band's music is influenced by funk, disco-pop and dubstep music from current and past decades, and draws inspiration from Earth Wind & Fire, Prince, La Roux and Alphabeat, among others.",0,5,== Musical style and influences ==,32095280
"2010–2011 , 2012–present","CD , CD",YEAR_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,,"Owen Sheppard - lead vocals, production, programming, percussion, song writing (2010–2011, 2012–present)Former members",0,8,== Band members ==,32095280
2010,CD,YEAR_REGEX_1,TIME,time_reference,"Michael Rudge - keyboard, electronics (2010)",0,9,== Band members ==,32095280
