time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Born in Harlem, New York, she first gained recognition after being featured on Webstar's 2006 debut album Caught in the Web.",1,0,,15047482
the 2006,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"At age 16,  she created the 2006 ""Chicken Noodle Soup"" song with DJ Webstar, and her uncle Da Drizzle created the beat.",1,2,== Biography ==,15047482
October 2006,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"The song and related dance became a viral hit on YouTube, and by October 2006, the song reached number 45 on the Billboard Hot 100 chart.",2,2,== Biography ==,15047482
2015,CD,YEAR_REGEX_1,TIME,time_reference,"In 2015, Dupree joined the supporting cast of the VH1 reality television series alongside friends Cardi B and Mariahlynn on Love & Hip Hop: New York in season six.",3,2,== Biography ==,15047482
2017,CD,YEAR_REGEX_1,TIME,time_reference,"In 2017, she released visuals for her song ""Faith In These Brownskins"", a response to the line ""All I got is faith in these lightskins"" in the Summertime Shootout mixtape by Fabolous.",5,2,== Biography ==,15047482
the Summertime,DT NNP,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,"In 2017, she released visuals for her song ""Faith In These Brownskins"", a response to the line ""All I got is faith in these lightskins"" in the Summertime Shootout mixtape by Fabolous.",5,2,== Biography ==,15047482
September 2019,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In September 2019, South Korean rapper J-Hope of boy band BTS released a remake of her song ""Chicken Noodle Soup"" with American singer Becky G.",6,2,== Biography ==,15047482
January 2020,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In January 2020, she was featured on Marriage Boot Camp: Reality Stars with her partner Chozus.",7,2,== Biography ==,15047482
The 9th Year,DT CD NN,PREFIX_REGEX_1 DIGIT_REGEX_1 TIME_UNIT_REGEX,MODIFIER NUMERAL TIME,time_reference,The 9th Year (2016),0,4,== Discography ==,15047482
2016,CD,YEAR_REGEX_1,TIME,time_reference,The 9th Year (2016),0,4,== Discography ==,15047482
2018,CD,YEAR_REGEX_1,TIME,time_reference,10 Plus (2018),0,5,== Discography ==,15047482
2020,CD,YEAR_REGEX_1,TIME,time_reference,10 Plus Times 2 (2020),0,6,== Discography ==,15047482
