time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
"September 21 , 1863 – April 26 , 1915","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,0,0
around 1910,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,1,0
twenty-five years,JJ NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,2,2
1900,CD,YEAR_REGEX_1,TIME,time_reference,3,2
1905,CD,YEAR_REGEX_1,TIME,time_reference,3,2
Night,NNP,DAY_TIME_REGEX,TIME,time_reference,3,2
1906,CD,YEAR_REGEX_1,TIME,time_reference,3,2
a 1915,DT CD,INARTICLE_REGEX YEAR_REGEX_1,MODIFIER TIME,time_reference,4,2
around 1910,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,6,2
1912,CD,YEAR_REGEX_1,TIME,time_reference,8,2
fifty-two weeks,JJ NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,2,4
the year,DT NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,2,4
thirty weeks,JJ NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,5,4
summer,NN,SEASON_REGEX,TIME,time_reference,6,4
three to six weeks,CD TO CD NNS,BASIC_NUMBER_REGEX_1 LINKAGE_REGEX BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL MODIFIER NUMERAL TIME,time_range,8,4
five years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,0,5
"April 26 , 1915","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,5
1913,CD,YEAR_REGEX_1,TIME,time_reference,3,7
Daily,NNP,PERIOD_REGEX,TIME,time_reference,4,7
of the Saturday,IN DT NNP,PREFIX_REGEX_1 PREFIX_REGEX_1 WEEK_REGEX,MODIFIER MODIFIER TIME,time_reference,7,7
of the moment,IN DT NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIMELINE_REGEX,MODIFIER MODIFIER TIME,time_reference,11,7
A 1916,DT CD,INARTICLE_REGEX YEAR_REGEX_1,MODIFIER TIME,time_reference,13,7
1914,CD,YEAR_REGEX_1,TIME,time_reference,20,7
day,NN,TIME_UNIT_REGEX,TIME,time_reference,20,7
1960,CD,YEAR_REGEX_1,TIME,time_reference,29,7
1715,CD,YEAR_REGEX_1,TIME,time_reference,29,7
1914,CD,YEAR_REGEX_1,TIME,time_reference,30,7
2010,CD,YEAR_REGEX_1,TIME,time_reference,30,7
1913,CD,YEAR_REGEX_1,TIME,time_reference,0,11
1995,CD,YEAR_REGEX_1,TIME,time_reference,0,12
Quarterly,NNP,TIME_UNIT_REGEX,TIME,time_reference,2,12
March 1915,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,0,13
2002,CD,YEAR_REGEX_1,TIME,time_reference,0,14
1987,CD,YEAR_REGEX_1,TIME,time_reference,0,15
2001,CD,YEAR_REGEX_1,TIME,time_reference,0,16
Winter 1968–69,NNP CD,SEASON_REGEX YEAR_REGEX_1,TIME TIME,time_reference,0,18
Summer 1972,NNP CD,SEASON_REGEX YEAR_REGEX_1,TIME TIME,time_reference,0,19
"March 19 , 1915","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,2,20
1966,CD,YEAR_REGEX_1,TIME,time_reference,0,21
1910–1930,CD,YEAR_REGEX_1,TIME,time_reference,1,21
246244278,CD,YEAR_REGEX_1,TIME,time_reference,3,21
1952,CD,YEAR_REGEX_1,TIME,time_reference,0,22
