time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
"July 1 , 1945","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,0,0
1978–1981,CD,YEAR_REGEX_1,TIME,time_reference,2,2
1981,CD,YEAR_REGEX_1,TIME,time_reference,4,2
1990,CD,YEAR_REGEX_1,TIME,time_reference,8,2
2005,CD,YEAR_REGEX_1,TIME,time_reference,8,2
2009,CD,YEAR_REGEX_1,TIME,time_reference,9,2
