time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
the late 1970s,DT JJ NNS,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,"Angletrax was a British new wave/punk rock group that existed in the late 1970s, who were signed to Germany's Hansa Records label.",0,0,,16722516
1979,CD,YEAR_REGEX_1,TIME,time_reference,"In 1979, the band released an EP entitled ""Things To Make And Do"" and the LP ""Angletrax"" with the following songs: Silent Majority, Things to Make and Do, Why Not, Shepherds Bush, Bad Mood, Mental Block, Monica, Private Life, God and Chips, Propaganda Man, I to I, Preconceptions",0,1,,16722516
Saturday 7 April 1979 and Friday 11 May 1979,NNP CD NNP CD CC NNP CD NNP CD,WEEK_REGEX DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1 LINKAGE_REGEX WEEK_REGEX DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,TIME NUMERAL TIME TIME MODIFIER TIME NUMERAL TIME TIME,time_reference,The band were on the bill at London's Marquee Club on Saturday 7 April 1979 and Friday 11 May 1979.,2,2,,16722516
31 May 1979,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"They also played Eric's in Liverpool on 31 May 1979, with 'special guests' Orchestral Manoeuvres in the Dark.",3,2,,16722516
