time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"October 26 , 1963","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Natalie Anne Merchant (born October 26, 1963) is an American alternative rock singer-songwriter.",0,0,,196446
1981,CD,YEAR_REGEX_1,TIME,time_reference,"She joined the band 10,000 Maniacs in 1981, and was lead vocalist and primary lyricist for the group.",1,0,,196446
1993,CD,YEAR_REGEX_1,TIME,time_reference,She remained with the group for their first seven albums and left it to begin her solo career in 1993.,2,0,,196446
"October 26 , 1963","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Natalie Merchant was born October 26, 1963, in Jamestown, New York, the third of four children of Anthony and Anne Merchant.",0,2,== Early life ==,196446
1988 and 1989,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,"Merchant says she did not have a TV between 1988 and 1989: ""I grew up in a house where no one watched the news on television and no one read the paper.",13,2,== Early life ==,196446
a summer,DT NN,INARTICLE_REGEX SEASON_REGEX,MODIFIER TIME,time_reference,"She considered a career in special education after taking part in a summer program for disabled children, but in 1981 she started singing for a band, Still Life, that became 10,000 Maniacs.",16,2,== Early life ==,196446
1981,CD,YEAR_REGEX_1,TIME,time_reference,"She considered a career in special education after taking part in a summer program for disabled children, but in 1981 she started singing for a band, Still Life, that became 10,000 Maniacs.",16,2,== Early life ==,196446
1981,CD,YEAR_REGEX_1,TIME,time_reference,"Merchant was lead singer and primary lyricist for 10,000 Maniacs, joining in its infancy in 1981 while she was a student at Jamestown Community College.",0,5,"== Career == | === 10,000 Maniacs ===",196446
1982,CD,YEAR_REGEX_1,TIME,time_reference,"The group recorded their album Human Conflict Number Five, and recorded a corresponding music video at the Hotel Franklin and at Group W Westinghouse studios in Jamestown, New York, in 1982.",1,5,"== Career == | === 10,000 Maniacs ===",196446
1993,CD,YEAR_REGEX_1,TIME,time_reference,"In 1993 she announced that she was leaving the group, citing a lack of creative control over the music she wrote with the band.",3,5,"== Career == | === 10,000 Maniacs ===",196446
Springsteen,NNP,SEASON_REGEX,TIME,time_reference,"Her last recording with the band, a cover of Bruce Springsteen's and Patti Smith's ""Because the Night"" at the 10,000 Maniacs MTV Unplugged performance, reached #11 on the Hot 100 chart on February 18, 1994; becoming the band's highest-charting song in the U.S.",4,5,"== Career == | === 10,000 Maniacs ===",196446
the Night,DT NNP,PREFIX_REGEX_1 DAY_TIME_REGEX,MODIFIER TIME,time_reference,"Her last recording with the band, a cover of Bruce Springsteen's and Patti Smith's ""Because the Night"" at the 10,000 Maniacs MTV Unplugged performance, reached #11 on the Hot 100 chart on February 18, 1994; becoming the band's highest-charting song in the U.S.",4,5,"== Career == | === 10,000 Maniacs ===",196446
"February 18 , 1994","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Her last recording with the band, a cover of Bruce Springsteen's and Patti Smith's ""Because the Night"" at the 10,000 Maniacs MTV Unplugged performance, reached #11 on the Hot 100 chart on February 18, 1994; becoming the band's highest-charting song in the U.S.",4,5,"== Career == | === 10,000 Maniacs ===",196446
1995,CD,YEAR_REGEX_1,TIME,time_reference,Tigerlily (1995),1,6,== Career == | === Tigerlily (1995) ===,196446
day,NN,TIME_UNIT_REGEX,TIME,time_reference,"After her split with 10,000 Maniacs, Merchant was so eager to begin writing her own material that she went home that very day and composed the song ""I May Know the Word"", which was originally meant to appear on the soundtrack to the Tom Hanks movie Philadelphia.",0,7,== Career == | === Tigerlily (1995) ===,196446
May,NNP,MONTH_REGEX,TIME,time_reference,"After her split with 10,000 Maniacs, Merchant was so eager to begin writing her own material that she went home that very day and composed the song ""I May Know the Word"", which was originally meant to appear on the soundtrack to the Tom Hanks movie Philadelphia.",0,7,== Career == | === Tigerlily (1995) ===,196446
1995,CD,YEAR_REGEX_1,TIME,time_reference,"The song was eventually cut from the soundtrack, but it would go on to appear on Merchant's debut solo album, Tigerlily, which was released on the Elektra label in 1995.",1,7,== Career == | === Tigerlily (1995) ===,196446
2000,CD,YEAR_REGEX_1,TIME,time_reference,"The group would consist of guitarist Jennifer Turner, bassist Barrie Maguire, and former Wallflower and eventual boyfriend, Peter Yanowitz, who played drums on the album, and who continued to do so with the singer until their abrupt split in 2000.",2,8,== Career == | === Tigerlily (1995) ===,196446
Saturday Night,NNP NNP,WEEK_REGEX DAY_TIME_REGEX,TIME TIME,time_reference,"She did extensive touring for it and made numerous television appearances, including performances on Saturday Night Live, at the Rock and Roll Hall of Fame, and on late-night talk shows.",2,9,== Career == | === Tigerlily (1995) ===,196446
1998–1999,CD,YEAR_REGEX_1,TIME,time_reference,Ophelia (1998–1999),1,10,== Career == | === Ophelia (1998–1999) ===,196446
Three years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"Three years passed before Merchant released her second solo effort, Ophelia.",0,11,== Career == | === Ophelia (1998–1999) ===,196446
nine years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,The reprise at the close of the album featured a symphonic arrangement composed and conducted by British composer Gavin Bryars with whom she would collaborate nine years later to put Shakespeare's sonnets to music.,2,11,== Career == | === Ophelia (1998–1999) ===,196446
the years,DT NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"Merchant treated the recording of Ophelia as a series of workshops, where she would invite various musicians she had met over the years into her home studio to collaborate and record.",3,11,== Career == | === Ophelia (1998–1999) ===,196446
That summer,DT NN,PREFIX_REGEX_1 SEASON_REGEX,MODIFIER TIME,time_reference,"That summer, Sarah McLachlan invited Merchant to co-headline the year's biggest music festival with her, Lilith Fair.",1,12,== Career == | === Ophelia (1998–1999) ===,196446
the year,DT NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"That summer, Sarah McLachlan invited Merchant to co-headline the year's biggest music festival with her, Lilith Fair.",1,12,== Career == | === Ophelia (1998–1999) ===,196446
a year,DT NN,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"The exposure from the tour helped the album reach Platinum status in just under a year, with subsequent singles ""Break Your Heart"" and ""Life Is Sweet"" receiving moderate airplay on adult contemporary stations.",2,12,== Career == | === Ophelia (1998–1999) ===,196446
the year,DT NN,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,She would also go on to appear on PBS' Sessions at West 54th and VH1's Hard Rock Live before the year's end.,4,12,== Career == | === Ophelia (1998–1999) ===,196446
1998,CD,YEAR_REGEX_1,TIME,time_reference,"In 1998, Merchant also recorded George Gershwin's ""But Not for Me"" for the Red Hot Organization's compilation album Red Hot + Rhapsody, a tribute to George Gershwin, which raised money for various charities devoted to increasing AIDS awareness and fighting the disease.",5,12,== Career == | === Ophelia (1998–1999) ===,196446
1999,CD,YEAR_REGEX_1,TIME,time_reference,The Ophelia tour ended in 1999 with the final few shows being performed and recorded on Broadway.,0,13,== Career == | === Ophelia (1998–1999) ===,196446
1998,CD,YEAR_REGEX_1,TIME,time_reference,"In 1998, Merchant collaborated on the making of the album Mermaid Avenue with Billy Bragg and Wilco, which set previously unreleased Guthrie lyrics to music by Bragg.",0,14,== Career == | === Ophelia (1998–1999) ===,196446
previously,RB,TIMELINE_REGEX,TIME,time_reference,"In 1998, Merchant collaborated on the making of the album Mermaid Avenue with Billy Bragg and Wilco, which set previously unreleased Guthrie lyrics to music by Bragg.",0,14,== Career == | === Ophelia (1998–1999) ===,196446
