time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
17 May 1989,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Alexandra Soumm (born 17 May 1989 in Moscow, Russia) is a French violinist from Montpellier.",0,0,,60634315
2000–2008,CD,YEAR_REGEX_1,TIME,time_reference,From 2000–2008 she was at the University of Graz doing a preparation course.,3,2,== Early life ==,60634315
2002,CD,YEAR_REGEX_1,TIME,time_reference,In 2002 she won the Fidelio competition for violins of Music and Arts University of the City of Vienna.,0,4,== Career ==,60634315
2004,CD,YEAR_REGEX_1,TIME,time_reference,"She won the Eurovision Young Musicians 2004 representing Austria in Lucerne, Switzerland.",1,4,== Career ==,60634315
2010–2012,CD,YEAR_REGEX_1,TIME,time_reference,She was a member of the BBC Radio 3 New Generation Artists scheme during its 2010–2012 season.,2,4,== Career ==,60634315
2012,CD,YEAR_REGEX_1,TIME,time_reference,"In 2012 she created the Esperanz'Arts organisation with Maria Mosconi, altiste, and pianist Paloma Kouider.",6,4,== Career ==,60634315
2019,CD,YEAR_REGEX_1,TIME,time_reference,"In 2019 it had a hundred members, and partners with hospitals, prisons, schools.",7,4,== Career ==,60634315
