time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"June 17 , 1916","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Terry Gilkyson (June 17, 1916 — October 15, 1999) was an American folk singer, composer, and lyricist.",0,0,,2258325
"October 15 , 1999","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Terry Gilkyson (June 17, 1916 — October 15, 1999) was an American folk singer, composer, and lyricist.",0,0,,2258325
1935,CD,YEAR_REGEX_1,TIME,time_reference,"Gilkyson was born in Phoenixville, Pennsylvania, and graduated from St. George's School, Newport in 1935.",0,2,== Biography ==,2258325
early twenties,JJ NNS,PREFIX_REGEX_1 DECADE_REGEX,MODIFIER TIME,time_reference,"By his early twenties, he had become a worker on a ranch in Tucson, Arizona, then joined the military during World War II.",1,2,== Biography ==,2258325
1947,CD,YEAR_REGEX_1,TIME,time_reference,"In 1947, he married Jane Haughton and moved to California to pursue a career as a folk singer.",2,2,== Biography ==,2258325
1950,CD,YEAR_REGEX_1,TIME,time_reference,"He wrote and recorded ""The Cry of the Wild Goose"", which became a hit song for Frankie Laine in 1950, as well as the 1953 hit song ""Tell Me a Story"" recorded by Jimmy Boyd and Laine.",0,3,== Biography ==,2258325
the 1953,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"He wrote and recorded ""The Cry of the Wild Goose"", which became a hit song for Frankie Laine in 1950, as well as the 1953 hit song ""Tell Me a Story"" recorded by Jimmy Boyd and Laine.",0,3,== Biography ==,2258325
1951,CD,YEAR_REGEX_1,TIME,time_reference,"In 1951 Gilkyson appeared in, as well as wrote continuing songs for, the Cinecolor Western film Slaughter Trail that, in the manner of High Noon, had ballads throughout the film relating to the plot.",1,3,== Biography ==,2258325
Noon,NNP,DAY_TIME_REGEX,TIME,time_reference,"In 1951 Gilkyson appeared in, as well as wrote continuing songs for, the Cinecolor Western film Slaughter Trail that, in the manner of High Noon, had ballads throughout the film relating to the plot.",1,3,== Biography ==,2258325
the 1956,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"He appeared and sang in the 1956 Western Star in the Dust with John Agar, Mamie Van Doren, and Richard Boone.",3,3,== Biography ==,2258325
1956,CD,YEAR_REGEX_1,TIME,time_reference,"In 1956, he formed a group called The Easy Riders with Richard Dehr and Frank Miller.",4,3,== Biography ==,2258325
the 1956,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,An adaptation of the song became an anthem for refugees from the 1956 Hungarian Revolution.,8,3,== Biography ==,2258325
1959,CD,YEAR_REGEX_1,TIME,time_reference,"In 1959 he wrote and recorded a lively album of ""8 Story-Songs from the Bible"".",9,3,== Biography ==,2258325
the 1960s,DT NNS,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In the 1960s, he left the group to work for the Walt Disney Studios, writing music both for movies and the television series The Wonderful World of Disney especially ""The Scarecrow of Romney Marsh.""",10,3,== Biography ==,2258325
1968,CD,YEAR_REGEX_1,TIME,time_reference,"In 1968, he was nominated for an Academy Award for ""The Bare Necessities"" from the 1967 animated film The Jungle Book.",11,3,== Biography ==,2258325
the 1967,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In 1968, he was nominated for an Academy Award for ""The Bare Necessities"" from the 1967 animated film The Jungle Book.",11,3,== Biography ==,2258325
1960,CD,YEAR_REGEX_1,TIME,time_reference,"Swiss Family Robinson (1960) Song: ""My Heart Was An Island'""",0,4,== Biography ==,2258325
1963,CD,YEAR_REGEX_1,TIME,time_reference,"Savage Sam (1963) Song: ""Savage Sam and Me""",0,5,== Biography ==,2258325
1964,CD,YEAR_REGEX_1,TIME,time_reference,"The Three Lives of Thomasina (1964) Song: ""Thomasina""",0,6,== Biography ==,2258325
1964,CD,YEAR_REGEX_1,TIME,time_reference,"The Moon-Spinners (1964) Song: ""The Moon-Spinners""",0,7,== Biography ==,2258325
1967,CD,YEAR_REGEX_1,TIME,time_reference,"The Jungle Book (1967) Song: ""The Bare Necessities"", as well as several unused songs composed for the film (""Brothers All"", ""The Song of the Seeonee"", ""Monkey See, Monkey Do"", ""I Knew",0,8,== Biography ==,2258325
A Day,DT NNP,INARTICLE_REGEX TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"I Belonged to Her"", ""In A Day's Work"", and ""The Mighty Hunters"")",1,8,== Biography ==,2258325
1970,CD,YEAR_REGEX_1,TIME,time_reference,"The Aristocats (1970) Song: ""Thomas O'Malley Cat""",0,9,== Biography ==,2258325
1951,CD,YEAR_REGEX_1,TIME,time_reference,Slaughter Trail (1951),0,13,== Filmography ==,2258325
1956,CD,YEAR_REGEX_1,TIME,time_reference,Star in the Dust (1956),0,14,== Filmography ==,2258325
