time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
1985,CD,YEAR_REGEX_1,TIME,time_reference,Choque (1985),0,3,== Discography == | === Albums ===,25640741
1986,CD,YEAR_REGEX_1,TIME,time_reference,Quadro Vivo (1986),0,4,== Discography == | === Albums ===,25640741
1987,CD,YEAR_REGEX_1,TIME,time_reference,Kiko Zambianchi (1987),0,5,== Discography == | === Albums ===,25640741
1989,CD,YEAR_REGEX_1,TIME,time_reference,Era das Flores (1989),0,6,== Discography == | === Albums ===,25640741
1997,CD,YEAR_REGEX_1,TIME,time_reference,KZ (1997),0,7,== Discography == | === Albums ===,25640741
2002,CD,YEAR_REGEX_1,TIME,time_reference,Disco Novo (2002),0,8,== Discography == | === Albums ===,25640741
2013,CD,YEAR_REGEX_1,TIME,time_reference,Acústico (2013),0,9,== Discography == | === Albums ===,25640741
2002,CD,YEAR_REGEX_1,TIME,time_reference,Luau MTV (2002),0,11,== Discography == | === DVDs ===,25640741
