time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
21 March,CD NNP,DIGIT_REGEX_1 MONTH_REGEX,NUMERAL TIME,,0,0
9 March,CD NNP,DIGIT_REGEX_1 MONTH_REGEX,NUMERAL TIME,,0,0
1889,CD,YEAR_REGEX_1,TIME,time_reference,0,0
21 May 1957,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,0,0
Early years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,1,1
1845—1894,CD,YEAR_REGEX_1,TIME,time_reference,2,2
three years old,CD NNS JJ,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX SUFFIX_REGEX,NUMERAL TIME MODIFIER,,5,3
two years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,5,3
years,NNS,TIME_UNIT_REGEX,TIME,time_reference,8,3
1898,CD,YEAR_REGEX_1,TIME,time_reference,9,3
1905,CD,YEAR_REGEX_1,TIME,time_reference,11,3
1912,CD,YEAR_REGEX_1,TIME,time_reference,14,3
1914 to 1916,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,16,3
1916,CD,YEAR_REGEX_1,TIME,time_reference,18,3
the October,DT NNP,PREFIX_REGEX_1 MONTH_REGEX,MODIFIER TIME,time_reference,3,4
daybreak,NN,TIME_UNIT_REGEX,TIME,time_reference,4,4
November 1920,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,0,6
1923,CD,YEAR_REGEX_1,TIME,time_reference,2,6
nine years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,2,6
1926,CD,YEAR_REGEX_1,TIME,time_reference,0,7
1900–1948,CD,YEAR_REGEX_1,TIME,time_reference,0,7
1968,CD,YEAR_REGEX_1,TIME,time_reference,0,7
the Days,DT NNPS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,0,7
Final years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,1,9
1943,CD,YEAR_REGEX_1,TIME,time_reference,0,10
1955,CD,YEAR_REGEX_1,TIME,time_reference,2,10
1951,CD,YEAR_REGEX_1,TIME,time_reference,3,10
21 May 1957,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,0,11
1923 and 1941,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,0,13
1942,CD,YEAR_REGEX_1,TIME,time_reference,2,13
1923—2013,CD,YEAR_REGEX_1,TIME,time_reference,2,13
1943,CD,YEAR_REGEX_1,TIME,time_reference,3,13
1944,CD,YEAR_REGEX_1,TIME,time_reference,3,13
1966 to 1969,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,1,14
1976 to 1978,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,2,14
around 20 years,IN CD NNS,PREFIX_REGEX_1 DIGIT_REGEX_1 TIME_UNIT_REGEX,MODIFIER NUMERAL TIME,time_reference,3,14
1982,CD,YEAR_REGEX_1,TIME,time_reference,0,16
1969,CD,YEAR_REGEX_1,TIME,time_reference,0,18
1989,CD,YEAR_REGEX_1,TIME,time_reference,0,19
1994,CD,YEAR_REGEX_1,TIME,time_reference,0,20
1995,CD,YEAR_REGEX_1,TIME,time_reference,0,21
1996,CD,YEAR_REGEX_1,TIME,time_reference,0,22
274939-40,JJ,YEAR_REGEX_1,TIME,time_reference,0,22
1999,CD,YEAR_REGEX_1,TIME,time_reference,0,23
2000,CD,YEAR_REGEX_1,TIME,time_reference,0,24
2003,CD,YEAR_REGEX_1,TIME,time_reference,0,25
1928,CD,YEAR_REGEX_1,TIME,time_reference,0,27
