time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"June 4 , 1937 – October 14 , 2006","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,"Freddy Fender (born Baldemar Garza Huerta; June 4, 1937 – October 14, 2006) was an American Tejano, country and rock and roll musician, known for his work as a solo artist and in the groups Los Super Seven and the Texas Tornados.",0,0,,1146259
1975,CD,YEAR_REGEX_1,TIME,time_reference,"He was best known for his 1975 hits ""Before the Next Teardrop Falls"" and the subsequent remake of his own ""Wasted Days and Wasted Nights"".",1,0,,1146259
Falls,NNP,SEASON_REGEX,TIME,time_reference,"He was best known for his 1975 hits ""Before the Next Teardrop Falls"" and the subsequent remake of his own ""Wasted Days and Wasted Nights"".",1,0,,1146259
Days,NNPS,TIME_UNIT_REGEX,TIME,time_reference,"He was best known for his 1975 hits ""Before the Next Teardrop Falls"" and the subsequent remake of his own ""Wasted Days and Wasted Nights"".",1,0,,1146259
Nights,NNS,DAY_TIME_REGEX,TIME,time_reference,"He was best known for his 1975 hits ""Before the Next Teardrop Falls"" and the subsequent remake of his own ""Wasted Days and Wasted Nights"".",1,0,,1146259
Early years,JJ NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,Early years ==,1,1,== Early years ==,1146259
1953,CD,YEAR_REGEX_1,TIME,time_reference,"""Fender dropped out of high school at age 16 in 1953, and when he turned 17, he enlisted for three years in the U.S. Marine Corps.",2,2,== Early years ==,1146259
three years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"""Fender dropped out of high school at age 16 in 1953, and when he turned 17, he enlisted for three years in the U.S. Marine Corps.",2,2,== Early years ==,1146259
August 1956,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"He served time in the brig on several occasions because of his drinking, and he was court-martialed in August 1956 and discharged with rank of private (E-1).",3,2,== Early years ==,1146259
nightclubs,NNS,DAY_TIME_REGEX,TIME,time_reference,"He returned to Texas and played nightclubs, bars, and honky-tonks throughout the south, mostly to Latino audiences.",5,2,== Early years ==,1146259
1957,CD,YEAR_REGEX_1,TIME,time_reference,"In 1957, then known as El Bebop Kid, he released two songs to moderate success in Mexico and South America: Spanish-language versions of Elvis Presley's ""Don't Be Cruel"" (as ""No Seas Cruel"") and Harry Belafonte's ""Jamaica Farewell.""",6,2,== Early years ==,1146259
1958,CD,YEAR_REGEX_1,TIME,time_reference,"In 1958, he legally changed his name from Baldemar Huerta to Freddy Fender.",1,3,== Early years ==,1146259
1959,CD,YEAR_REGEX_1,TIME,time_reference,"In 1959, Fender recorded the blues ballad ""Wasted Days and Wasted Nights.""",0,5,== Initial success ==,1146259
Days,NNPS,TIME_UNIT_REGEX,TIME,time_reference,"In 1959, Fender recorded the blues ballad ""Wasted Days and Wasted Nights.""",0,5,== Initial success ==,1146259
Nights,NNP,DAY_TIME_REGEX,TIME,time_reference,"In 1959, Fender recorded the blues ballad ""Wasted Days and Wasted Nights.""",0,5,== Initial success ==,1146259
May 1960,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"His self penned song was a hit, but he was beset by legal troubles in May 1960 after he and a band member were arrested for possession of marijuana in Baton Rouge, Louisiana.",1,5,== Initial success ==,1146259
nearly three years,RB CD NNS,PREFIX_REGEX_1 BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,MODIFIER NUMERAL TIME,time_reference,"After serving nearly three years in the Louisiana State Penitentiary, he was released through the intervention of then-governor Jimmie Davis, also a songwriter and musician.",2,5,== Initial success ==,1146259
a 1990,DT CD,INARTICLE_REGEX YEAR_REGEX_1,MODIFIER TIME,time_reference,"However, in a 1990 NPR interview on Fresh Air with Terry Gross (rebroadcast October 17, 2006), Fender said that the condition for parole was to stay away from places that served alcohol.",4,5,== Initial success ==,1146259
"October 17 , 2006","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"However, in a 1990 NPR interview on Fresh Air with Terry Gross (rebroadcast October 17, 2006), Fender said that the condition for parole was to stay away from places that served alcohol.",4,5,== Initial success ==,1146259
the end of the 1960s,DT NN IN DT NNS,PREFIX_REGEX_1 PREFIX_REGEX_2 PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER MODIFIER MODIFIER TIME,time_reference,"By the end of the 1960s, Fender was back in Corpus Christi, Texas, working as a mechanic and attending local institution, Del Mar College, while playing music only on the weekends.",0,6,== Initial success ==,1146259
Mar,NNP,MONTH_ABBR_REGEX,TIME,time_reference,"By the end of the 1960s, Fender was back in Corpus Christi, Texas, working as a mechanic and attending local institution, Del Mar College, while playing music only on the weekends.",0,6,== Initial success ==,1146259
the weekends,DT NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"By the end of the 1960s, Fender was back in Corpus Christi, Texas, working as a mechanic and attending local institution, Del Mar College, while playing music only on the weekends.",0,6,== Initial success ==,1146259
1974,CD,YEAR_REGEX_1,TIME,time_reference,"In 1974 Fender recorded ""Before the Next Teardrop Falls.""",0,8,== Number one on pop and country charts ==,1146259
Falls,NNP,SEASON_REGEX,TIME,time_reference,"In 1974 Fender recorded ""Before the Next Teardrop Falls.""",0,8,== Number one on pop and country charts ==,1146259
May 1975,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,It sold over a million copies and was awarded a gold disc by the RIAA in May 1975.,2,8,== Number one on pop and country charts ==,1146259
Days,NNPS,TIME_UNIT_REGEX,TIME,time_reference,"His next three singles, ""Secret Love"", ""You'll Lose a Good Thing"", and a remake of ""Wasted Days and Wasted Nights"", all reached number one on the Billboard Country chart.",3,8,== Number one on pop and country charts ==,1146259
Nights,NNS,DAY_TIME_REGEX,TIME,time_reference,"His next three singles, ""Secret Love"", ""You'll Lose a Good Thing"", and a remake of ""Wasted Days and Wasted Nights"", all reached number one on the Billboard Country chart.",3,8,== Number one on pop and country charts ==,1146259
1975 and 1983,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,"Between 1975 and 1983, Fender charted 21 country hits, including ""Since I Met You Baby"", ""Vaya con Dios"", ""Livin' It Down"", and ""The Rains Came"".",4,8,== Number one on pop and country charts ==,1146259
Days,NNPS,TIME_UNIT_REGEX,TIME,time_reference,"""Wasted Days and Wasted Nights"" became Fender's second million-selling single, with the gold disc presentation taking place in September 1975.",5,8,== Number one on pop and country charts ==,1146259
Nights,NNS,DAY_TIME_REGEX,TIME,time_reference,"""Wasted Days and Wasted Nights"" became Fender's second million-selling single, with the gold disc presentation taking place in September 1975.",5,8,== Number one on pop and country charts ==,1146259
presentation,NN,TIMELINE_REGEX,TIME,time_reference,"""Wasted Days and Wasted Nights"" became Fender's second million-selling single, with the gold disc presentation taking place in September 1975.",5,8,== Number one on pop and country charts ==,1146259
September 1975,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"""Wasted Days and Wasted Nights"" became Fender's second million-selling single, with the gold disc presentation taking place in September 1975.",5,8,== Number one on pop and country charts ==,1146259
Falls,NNP,SEASON_REGEX,TIME,time_reference,"Besides ""Before the Next Teardrop Falls"" reaching number one on the pop chart in May 1975, ""Wasted Days And Wasted Nights"" went into the pop top 10 and ""Secret Love"" into the top 20.",7,8,== Number one on pop and country charts ==,1146259
May 1975,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Besides ""Before the Next Teardrop Falls"" reaching number one on the pop chart in May 1975, ""Wasted Days And Wasted Nights"" went into the pop top 10 and ""Secret Love"" into the top 20.",7,8,== Number one on pop and country charts ==,1146259
Days,NNP,TIME_UNIT_REGEX,TIME,time_reference,"Besides ""Before the Next Teardrop Falls"" reaching number one on the pop chart in May 1975, ""Wasted Days And Wasted Nights"" went into the pop top 10 and ""Secret Love"" into the top 20.",7,8,== Number one on pop and country charts ==,1146259
Nights,NNS,DAY_TIME_REGEX,TIME,time_reference,"Besides ""Before the Next Teardrop Falls"" reaching number one on the pop chart in May 1975, ""Wasted Days And Wasted Nights"" went into the pop top 10 and ""Secret Love"" into the top 20.",7,8,== Number one on pop and country charts ==,1146259
1975,CD,YEAR_REGEX_1,TIME,time_reference,"Jukebox Awards in 1975, Fender was awarded ""Artist of the Year"" and ""Record of the Year"" for having the highest-earning songs played on jukebox machines in the United States.",4,9,== Number one on pop and country charts ==,1146259
of the Year,IN DT NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"Jukebox Awards in 1975, Fender was awarded ""Artist of the Year"" and ""Record of the Year"" for having the highest-earning songs played on jukebox machines in the United States.",4,9,== Number one on pop and country charts ==,1146259
of the Year,IN DT NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"Jukebox Awards in 1975, Fender was awarded ""Artist of the Year"" and ""Record of the Year"" for having the highest-earning songs played on jukebox machines in the United States.",4,9,== Number one on pop and country charts ==,1146259
1978,CD,YEAR_REGEX_1,TIME,time_reference,Fender was heavily influenced by the swamp pop sound from southern Louisiana and southeast Texas as is shown by his recording swamp pop standards on his 1978 album Swamp Gold.,0,11,== Number one on pop and country charts == | === Swamp pop influences ===,1146259
Days,NNP,TIME_UNIT_REGEX,TIME,time_reference,"One of his major hits, ""Wasted Days and Wasted Nights,"" has a typical swamp pop ballad arrangement.",1,11,== Number one on pop and country charts == | === Swamp pop influences ===,1146259
Nights,NNP,DAY_TIME_REGEX,TIME,time_reference,"One of his major hits, ""Wasted Days and Wasted Nights,"" has a typical swamp pop ballad arrangement.",1,11,== Number one on pop and country charts == | === Swamp pop influences ===,1146259
Later years,RB NNS,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,Later years ==,1,12,== Later years ==,1146259
1989,CD,YEAR_REGEX_1,TIME,time_reference,"In 1989, Fender teamed up with fellow Tex–Mex musicians Doug Sahm, Flaco Jiménez, and Augie Meyers to form the Texas Tornados, whose work meshed conjunto, Tejano, R&B, country, and blues to wide acclaim.",0,14,== Later years == | === Texas Tornados ===,1146259
1990,CD,YEAR_REGEX_1,TIME,time_reference,"The group released four albums and won a Grammy Award in 1990 for Best Mexican American Performance for the track ""Soy de San Luis"".",5,14,== Later years == | === Texas Tornados ===,1146259
1990,CD,YEAR_REGEX_1,TIME,time_reference,"A live 1990 appearance on TV's Austin City Limits, one of three the group made, was released in 2005 as part of the Live From Austin, Texas, series.",9,14,== Later years == | === Texas Tornados ===,1146259
2005,CD,YEAR_REGEX_1,TIME,time_reference,"A live 1990 appearance on TV's Austin City Limits, one of three the group made, was released in 2005 as part of the Live From Austin, Texas, series.",9,14,== Later years == | === Texas Tornados ===,1146259
the late 1990s,DT JJ CD,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,"In the late 1990s, Fender joined another supergroup, Los Super Seven, with Los Lobos' David Hidalgo and César Rosas, Flaco Jiménez, Ruben Ramos, Joe Ely, and country singer Rick Trevino.",0,16,== Later years == | === Los Super 7 ===,1146259
a 1998,DT CD,INARTICLE_REGEX YEAR_REGEX_1,MODIFIER TIME,time_reference,The group won a 1998 Grammy in the Mexican American Performance category for their self-titled disc.,1,16,== Later years == | === Los Super 7 ===,1146259
2001,CD,YEAR_REGEX_1,TIME,time_reference,"In 2001, Fender made his final studio recording, a collection of classic Mexican boleros titled La Música de Baldemar Huerta that brought him a third Grammy award, this time in the category of Latin Pop Album.",0,18,== Later years == | === Later work ===,1146259
