time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"August 7 , 1996","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Kim Seok-woo (born August 7, 1996), better known by his stage name Rowoon, is a South Korean singer, actor and model.",0,0,,60694427
2019,CD,YEAR_REGEX_1,TIME,time_reference,"He played his first leading role in 2019 MBC's television series, Extraordinary You.",2,0,,60694427
2013–2014,CD,YEAR_REGEX_1,TIME,time_reference,2013–2014:,1,2,== Career == | === 2013–2014: Pre-debut ===,60694427
2015–2016,CD,YEAR_REGEX_1,TIME,time_reference,2015–2016:,1,4,== Career == | === 2015–2016: Debut with SF9 ===,60694427
2015,CD,YEAR_REGEX_1,TIME,time_reference,"In 2015, he was a part of pre-debut team, “Neoz School”, under FNC Entertainment as a member of the group called NEOZ.",0,5,== Career == | === 2015–2016: Debut with SF9 ===,60694427
May 2016,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In May 2016, he participated as a member of ""NEOZ Dance"" in FNC Entertainment's survival show d.o.b (Dance or Band), competing against NEOZ Band (later known as Honeyst).",1,5,== Career == | === 2015–2016: Debut with SF9 ===,60694427
October 2016,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"He debuted with group SF9 in October 2016 with the single ""Fanfare"".",3,5,== Career == | === 2015–2016: Debut with SF9 ===,60694427
2017–present,CD,YEAR_REGEX_1,TIME,time_reference,"2017–present: Solo activities, rising popularity ===",1,6,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
2017,CD,YEAR_REGEX_1,TIME,time_reference,His acting career in television series began with KBS2's School 2017 with a minor supporting role.,0,7,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
March 2018,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In March 2018, he was confirmed to star in tvN's About Time as the female lead's brother.",2,7,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
July 2018,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In July 2018, he was confirmed to star in SBS’s Where Stars Land in which he was nominated for the New Actor award.",3,7,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
"May 9 , 2019","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On May 9, 2019 Rowoon was confirmed to be the male lead in MBC's school fantasy drama, Extraordinary You based on the hit Daum webtoon July Found by Chance.",4,7,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
July,NNP,MONTH_REGEX,TIME,time_reference,"On May 9, 2019 Rowoon was confirmed to be the male lead in MBC's school fantasy drama, Extraordinary You based on the hit Daum webtoon July Found by Chance.",4,7,"== Career == | === 2017–present: Solo activities, rising popularity ===",60694427
