time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex
10 December 1857,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,0,0
31 July 1915,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,0,0
1902,CD,YEAR_REGEX_1,TIME,time_reference,0,1
1910,CD,YEAR_REGEX_1,TIME,time_reference,0,3
1895,CD,YEAR_REGEX_1,TIME,time_reference,0,4
238385,CD,YEAR_REGEX_1,TIME,time_reference,1,4
1904,CD,YEAR_REGEX_1,TIME,time_reference,0,5
1901,CD,YEAR_REGEX_1,TIME,time_reference,1,12
1902,CD,YEAR_REGEX_1,TIME,time_reference,0,13
1888,CD,YEAR_REGEX_1,TIME,time_reference,0,16
2000,CD,YEAR_REGEX_1,TIME,time_reference,0,16
