time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"September 22 , 1971","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Theodore Michael ""Ted"" Leonard (born September 22, 1971) is an American vocalist and guitarist, best known as the lead singer for the progressive rock band Enchant.",0,0,,37328977
2007,CD,YEAR_REGEX_1,TIME,time_reference,Way Home (2007),0,3,== Discography == | === Solo albums ===,37328977
1993,CD,YEAR_REGEX_1,TIME,time_reference,A Blueprint of the World (1993),0,5,== Discography == | === Enchant ===,37328977
1996,CD,YEAR_REGEX_1,TIME,time_reference,Wounded (1996),0,6,== Discography == | === Enchant ===,37328977
1997,CD,YEAR_REGEX_1,TIME,time_reference,Time Lost (1997),0,7,== Discography == | === Enchant ===,37328977
1998,CD,YEAR_REGEX_1,TIME,time_reference,Break (1998),0,8,== Discography == | === Enchant ===,37328977
2000,CD,YEAR_REGEX_1,TIME,time_reference,Juggling 9 Or Dropping 10 (2000),0,9,== Discography == | === Enchant ===,37328977
2002,CD,YEAR_REGEX_1,TIME,time_reference,Blink of an Eye (2002),0,10,== Discography == | === Enchant ===,37328977
2003,CD,YEAR_REGEX_1,TIME,time_reference,Tug of War (2003),0,11,== Discography == | === Enchant ===,37328977
2004,CD,YEAR_REGEX_1,TIME,time_reference,Live at Last (2004),0,12,== Discography == | === Enchant ===,37328977
2014,CD,YEAR_REGEX_1,TIME,time_reference,The Great Divide (2014),0,13,== Discography == | === Enchant ===,37328977
2011,CD,YEAR_REGEX_1,TIME,time_reference,Live at High Voltage Festival (2011),0,15,== Discography == | === Spock's Beard ===,37328977
2013,CD,YEAR_REGEX_1,TIME,time_reference,Brief Nocturnes and Dreamless Sleep (2013),0,16,== Discography == | === Spock's Beard ===,37328977
2015,CD,YEAR_REGEX_1,TIME,time_reference,The Oblivion Particle (2015),0,17,== Discography == | === Spock's Beard ===,37328977
2018,CD,YEAR_REGEX_1,TIME,time_reference,Noise Floor (2018),0,18,== Discography == | === Spock's Beard ===,37328977
2007,CD,YEAR_REGEX_1,TIME,time_reference,Angular Perceptions (2007),0,20,== Discography == | === Thought Chamber ===,37328977
2013,CD,YEAR_REGEX_1,TIME,time_reference,Psykerion (2013),0,21,== Discography == | === Thought Chamber ===,37328977
1999,CD,YEAR_REGEX_1,TIME,time_reference,84.000 Dharma Doors (1999),0,23,== Discography == | === Xen ===,37328977
2012,CD,YEAR_REGEX_1,TIME,time_reference,Harmagedon (2012),0,25,== Discography == | === Affector ===,37328977
2009,CD,YEAR_REGEX_1,TIME,time_reference,Reflections - An Act of Glass (2009),0,27,== Discography == | === Andrew Gorczyca ===,37328977
2014,CD,YEAR_REGEX_1,TIME,time_reference,KaLIVEoscope (2014),0,29,== Discography == | === Transatlantic ===,37328977
2019,CD,YEAR_REGEX_1,TIME,time_reference,Jesus Christ - The Exorcist (2019),0,31,== Discography == | === Neal Morse ===,37328977
2019,CD,YEAR_REGEX_1,TIME,time_reference,Pattern-Seeking Animals (2019),0,33,== Discography == | === Pattern-Seeking Animals ===,37328977
2020,CD,YEAR_REGEX_1,TIME,time_reference,Prehensile Tales (2020),0,34,== Discography == | === Pattern-Seeking Animals ===,37328977
