time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
11 December 2000,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Rinne Yoshida (吉田 凜音, born 11 December 2000) is a Japanese idol singer and rapper.",0,0,,46515693
2013）,CD,YEAR_REGEX_1,TIME,time_reference,"(レッツボカロダンス!)（June 27, 2013）",1,5,== Discography == | === DVD ===,46515693
2020,CD,YEAR_REGEX_1,TIME,time_reference,Humanoid Monster Bela (2020),0,9,== Filmography == | === Film ===,46515693
2021,CD,YEAR_REGEX_1,TIME,time_reference,Between Us (2021),0,10,== Filmography == | === Film ===,46515693
