entType,URI,types,sentence,sentenceIndex,paragraphIndex,section,support,entity,offset,similarityScore,percentageOfSecondRank,wikiPageID
person,http://dbpedia.org/resource/Radio_personality,http://dbpedia.org/ontology/Person,"Michael David Kenneth Read (born 1 March 1947) is an English radio disc jockey, writer, journalist and television presenter.",0,0,,,,,,,984155
person,http://dbpedia.org/resource/Disc_jockey,http://dbpedia.org/ontology/Person,"Michael David Kenneth Read (born 1 March 1947) is an English radio disc jockey, writer, journalist and television presenter.",0,0,,,,,,,984155
person,http://dbpedia.org/resource/Journalist,http://dbpedia.org/ontology/Person,"Michael David Kenneth Read (born 1 March 1947) is an English radio disc jockey, writer, journalist and television presenter.",0,0,,,,,,,984155
person,http://dbpedia.org/resource/Television_presenter,http://dbpedia.org/ontology/Person,"Michael David Kenneth Read (born 1 March 1947) is an English radio disc jockey, writer, journalist and television presenter.",0,0,,,,,,,984155
person,http://dbpedia.org/resource/Radio_personality,http://dbpedia.org/ontology/Person,"Read has been a broadcaster since 1976, best known for being a DJ with BBC Radio 1, and television host for music chart series Top of the Pops, children's programme Saturday Superstore and music panel game Pop Quiz.",1,0,,,,,,,984155
person,http://dbpedia.org/resource/Television_presenter,http://dbpedia.org/ontology/Person,"Read has been a broadcaster since 1976, best known for being a DJ with BBC Radio 1, and television host for music chart series Top of the Pops, children's programme Saturday Superstore and music panel game Pop Quiz.",1,0,,,,,,,984155
person,http://dbpedia.org/resource/Panel_show,http://dbpedia.org/ontology/Person,"Read has been a broadcaster since 1976, best known for being a DJ with BBC Radio 1, and television host for music chart series Top of the Pops, children's programme Saturday Superstore and music panel game Pop Quiz.",1,0,,,,,,,984155
person,http://dbpedia.org/resource/Mike_Read,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person",Mike Read Currently Host & Helps out on Heritage Charts..,2,0,,185.0,Mike Read,0.0,1.0,0.0,984155
place,http://dbpedia.org/resource/Manchester,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","Michael David Kenneth Read was born 1 March 1947 in Manchester, the only child of a publican.",0,2,== Early life ==,48733.0,Manchester,52.0,0.9995383276189616,0.0004324865972002616,984155
place,http://dbpedia.org/resource/Manchester,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","The family moved from Manchester to Walton-on-Thames, Surrey, when he was an infant.",1,2,== Early life ==,48733.0,Manchester,22.0,0.9927619927616284,0.007229951818673,984155
place,http://dbpedia.org/resource/Walton-on-Thames,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","The family moved from Manchester to Walton-on-Thames, Surrey, when he was an infant.",1,2,== Early life ==,411.0,Walton-on-Thames,36.0,0.9999423958813832,5.760731271308896e-05,984155
place,http://dbpedia.org/resource/Surrey,"Wikidata:Q3455524,Schema:Place,Schema:AdministrativeArea,DBpedia:Region,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:AdministrativeRegion","The family moved from Manchester to Walton-on-Thames, Surrey, when he was an infant.",1,2,== Early life ==,15449.0,Surrey,54.0,0.9884716550907384,0.0112343932012576,984155
place,http://dbpedia.org/resource/Woking,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement",He attended Woking Grammar School followed by a sixth-form college.,2,2,== Early life ==,1773.0,Woking,12.0,0.999250362180236,0.0007352713396288862,984155
place,http://dbpedia.org/resource/Manchester,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","Later, he worked as an estate agent, and recorded under various names including Mickey Manchester.",3,2,== Early life ==,48733.0,Manchester,87.0,0.999336798340488,0.0005266755711362186,984155
person,http://dbpedia.org/resource/Estate_agent,http://dbpedia.org/ontology/Person,"Later, he worked as an estate agent, and recorded under various names including Mickey Manchester.",3,2,== Early life ==,,,,,,984155
person,http://dbpedia.org/resource/Ipswich_serial_murders,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q2159907,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Criminal","Read's professional broadcasting career began in March 1976 at Reading's Radio 210, where he co-hosted a slot with Steve Wright – entitled Read and Wright – before joining Radio Luxembourg late in 1977.",0,4,== Broadcasting career ==,55.0,Steve Wright,115.0,0.9869345014172975,0.0126078432798705,984155
person,http://dbpedia.org/resource/Frank_Lloyd_Wright,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q42973,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Architect","Read's professional broadcasting career began in March 1976 at Reading's Radio 210, where he co-hosted a slot with Steve Wright – entitled Read and Wright – before joining Radio Luxembourg late in 1977.",0,4,== Broadcasting career ==,3845.0,Wright,150.0,0.9958271549117927,0.0021355475574453,984155
person,http://dbpedia.org/resource/John_Peel,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,Wikidata:Q13590141,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Presenter","Read joined Radio 1 in November 1978 and was soon presenting the night-time programme before the slot fronted by John Peel; here, Read championed new groups and featured live sessions.",1,4,== Broadcasting career ==,2831.0,John Peel,113.0,0.9999999999999716,3.698580389360328e-14,984155
place,http://dbpedia.org/resource/Goes,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","On 11 January 1984, Read suddenly interrupted broadcasting the Frankie Goes to Hollywood song ""Relax"", halfway through playing the single, denounced the lyrics as 'obscene'.",0,5,== Broadcasting career ==,220.0,Goes,71.0,0.9960893358146088,0.0020263364787297,984155
place,http://dbpedia.org/resource/Hollywood,"Wikidata:Q486972,Schema:Place,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:CityDistrict","On 11 January 1984, Read suddenly interrupted broadcasting the Frankie Goes to Hollywood song ""Relax"", halfway through playing the single, denounced the lyrics as 'obscene'.",0,5,== Broadcasting career ==,24508.0,Hollywood,79.0,0.9925849558722478,0.0066036784679493,984155
person,http://dbpedia.org/resource/Round_Table,http://dbpedia.org/ontology/Person,"In addition, he hosted Round Table and later went back to it as the renamed Singled Out on Friday evenings, where musicians and disc jockeys would review new single releases.",5,5,== Broadcasting career ==,,,,,,984155
person,http://dbpedia.org/resource/Alan_Freeman,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q2722764,Wikidata:Q24229398,Wikidata:Q215627,Wikidata:Q13590141,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Presenter,DBpedia:Person,DBpedia:Agent,DBpedia:RadioHost","Read's Saturday morning slot ended in September 1988 and his Sunday afternoon oldies series finished in January 1989, when Alan Freeman re-joined the station to host an oldies version of Pick of the Pops, which Read covered in November that year when Freeman was ill.",0,6,== Broadcasting career ==,201.0,Alan Freeman,123.0,1.0,0.0,984155
person,http://dbpedia.org/resource/Mike_Read,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","From January 1989 to September 1990, Read presented a weekly series called The Mike Read Collection (which was broadcast on Monday evenings) and still remained on the Friday panel show Singled Out (which by then had gone back to its original name of Round Table); he remained in this slot until 1991.",1,6,== Broadcasting career ==,185.0,Mike Read,79.0,1.0,0.0,984155
person,http://dbpedia.org/resource/Round_Table,http://dbpedia.org/ontology/Person,"From January 1989 to September 1990, Read presented a weekly series called The Mike Read Collection (which was broadcast on Monday evenings) and still remained on the Friday panel show Singled Out (which by then had gone back to its original name of Round Table); he remained in this slot until 1991.",1,6,== Broadcasting career ==,,,,,,984155
person,http://dbpedia.org/resource/Mike_Read,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","Read left Radio 1 in 1991 and moved to Capital Gold in London, presenting his Mike Read Collection, which went out on a Sunday night, before taking on the weekday 'drive-time' show in mid-1992, where he remained until he left the station in late 1995.",0,8,== Broadcasting career == | === After Radio 1 ===,185.0,Mike Read,78.0,1.0,0.0,984155
place,http://dbpedia.org/resource/London,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","Read left Radio 1 in 1991 and moved to Capital Gold in London, presenting his Mike Read Collection, which went out on a Sunday night, before taking on the weekday 'drive-time' show in mid-1992, where he remained until he left the station in late 1995.",0,8,== Broadcasting career == | === After Radio 1 ===,242203.0,London,55.0,0.9998889424301832,5.31202202152208e-05,984155
person,http://dbpedia.org/resource/Cliff_Richard,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist","Also in 1992, Read was heard on BBC Radio 2 presenting special shows looking back at the career of Cliff Richard and playing his music.",1,8,== Broadcasting career == | === After Radio 1 ===,2445.0,Cliff Richard,99.0,0.9999999999201066,7.989548610169949e-11,984155
person,http://dbpedia.org/resource/Cliff_Richard,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist","Also in 1992, Read was heard on BBC Radio 2 presenting special shows looking back at the career of Cliff Richard and playing his music.",1,8,== Broadcasting career == | === After Radio 1 ===,2445.0,Cliff Richard,99.0,0.9999999999201066,7.989548610169949e-11,984155
place,http://dbpedia.org/resource/United_Kingdom,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country","Subsequently, in 1997, he presented the networked 'breakfast show' on Classic Gold stations around the UK.",3,8,== Broadcasting career == | === After Radio 1 ===,196331.0,UK,103.0,0.9579948571396664,0.0364875317530366,984155
place,http://dbpedia.org/resource/Chichester,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","From September 1999, Read presented the breakfast show on Jazz FM in the north of England; then, in 2001, he joined Spirit FM in Chichester, initially presenting a Sunday slot from 10 am to 1 pm before moving to a weekday afternoon slot from 2 pm to 3 pm, playing music from various featured years.",0,9,== Broadcasting career == | === After Radio 1 ===,2984.0,Chichester,129.0,0.978532621061572,0.0178334761735265,984155
place,http://dbpedia.org/resource/United_Kingdom,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country","Between 2003 and 2004, Read presented a Saturday morning slot on the Magic network around the UK.",0,10,== Broadcasting career == | === After Radio 1 ===,196331.0,UK,94.0,0.9420313626818144,0.0507035333533273,984155
