entType,URI,types,sentence,sentenceIndex,paragraphIndex,section,support,entity,offset,similarityScore,percentageOfSecondRank,wikiPageID
person,http://dbpedia.org/resource/John_Lomax,http://dbpedia.org/ontology/Person,John Richard Lomax (10 May 1944 – 15 September 2013) was an English guitarist and singer-songwriter.,0,0,,,,,,,3696100
person,http://dbpedia.org/resource/George_Gershwin,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","He is best known for his association with George Harrison, who produced Lomax's recordings for the Beatles' Apple record label in the late 1960s.",1,0,,4430.0,George,42.0,0.9262752907035128,0.0344901484048543,3696100
person,http://dbpedia.org/resource/George_Harrison,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","He is best known for his association with George Harrison, who produced Lomax's recordings for the Beatles' Apple record label in the late 1960s.",1,0,,6275.0,Harrison,49.0,0.999999941227232,5.856180645516619e-08,3696100
person,http://dbpedia.org/resource/Alan_Lomax,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist","He is best known for his association with George Harrison, who produced Lomax's recordings for the Beatles' Apple record label in the late 1960s.",1,0,,861.0,Lomax,72.0,0.9240930360209526,0.0698768515813806,3696100
person,http://dbpedia.org/resource/Alan_Lomax,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist","He is best known for his association with George Harrison, who produced Lomax's recordings for the Beatles' Apple record label in the late 1960s.",1,0,,861.0,Lomax,72.0,0.9240930360209526,0.0698768515813806,3696100
person,http://dbpedia.org/resource/Alan_Lomax,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist","John Richard Lomax was born in 1944 in Wallasey, Cheshire.",0,1,,861.0,Lomax,13.0,0.6125961837169814,0.6095437510807672,3696100
person,http://dbpedia.org/resource/Alan_Lomax,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist","John Richard Lomax was born in 1944 in Wallasey, Cheshire.",0,1,,861.0,Lomax,13.0,0.6125961837169814,0.6095437510807672,3696100
place,http://dbpedia.org/resource/Wallasey,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","John Richard Lomax was born in 1944 in Wallasey, Cheshire.",0,1,,619.0,Wallasey,39.0,0.9999999140113296,6.209623323142757e-08,3696100
place,http://dbpedia.org/resource/Cheshire,"Wikidata:Q3455524,Schema:Place,Schema:AdministrativeArea,DBpedia:Region,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:AdministrativeRegion","John Richard Lomax was born in 1944 in Wallasey, Cheshire.",0,1,,14141.0,Cheshire,49.0,0.9985541474254478,0.0014476615807182,3696100
person,http://dbpedia.org/resource/Alan_Lomax,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist","He was a member of Dee and the Dynamites, The Undertakers, The Lomax Alliance, Heavy Jelly and Badger.",1,1,,861.0,Lomax,63.0,0.9973181191361116,0.0020152227336153,3696100
