@URI,@support,@types,entity,@offset,@similarityScore,@percentageOfSecondRank,entType,sentence,sentenceIndex,paragraphIndex,section,wikiPageID
http://dbpedia.org/resource/Oklahoma,48487,"Wikidata:Q3455524,Schema:Place,Schema:AdministrativeArea,DBpedia:Region,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:AdministrativeRegion",Oklahoma,82,0.9732618670502292,0.012493370593957786,place,"Gayla Rienette Peevey (born March 8, 1943) is a former singer and child star from Oklahoma City, Oklahoma.",0,0,,3521750
http://dbpedia.org/resource/Oklahoma,48487,"Wikidata:Q3455524,Schema:Place,Schema:AdministrativeArea,DBpedia:Region,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:AdministrativeRegion",Oklahoma,97,0.9732618670502292,0.012493370593957786,place,"Gayla Rienette Peevey (born March 8, 1943) is a former singer and child star from Oklahoma City, Oklahoma.",0,0,,3521750
http://dbpedia.org/resource/Oklahoma,48487,"Wikidata:Q3455524,Schema:Place,Schema:AdministrativeArea,DBpedia:Region,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:AdministrativeRegion",Oklahoma,32,0.9993856867634205,5.405430640733811E-4,place,"Her family moved to Ponca City, Oklahoma, in 1948.",1,0,,3521750
http://dbpedia.org/resource/Gayla_Peevey,19,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Gayla Peevey,59,1.0,0.0,person,"She is best known for her recording, under her maiden name Gayla Peevey, of ""I Want a Hippopotamus for Christmas"" (Columbia 4-40106, 1953).",2,0,,3521750
http://dbpedia.org/resource/Gayla_Peevey,19,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Gayla Peevey,59,1.0,0.0,person,"She is best known for her recording, under her maiden name Gayla Peevey, of ""I Want a Hippopotamus for Christmas"" (Columbia 4-40106, 1953).",2,0,,3521750
http://dbpedia.org/resource/Gayla_Peevey,19,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Jamie Horton,24,0.9999999999995168,0.0,person,"In 1960, under the name Jamie Horton, she had a minor hit with the song ""Robot Man"", a Connie Francis cover.",0,1,,3521750
http://dbpedia.org/resource/Pope_Francis,7264,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,Wikidata:Q19546,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Cleric,DBpedia:Agent,DBpedia:Pope",Francis,94,0.5779969513071184,0.6563901520229352,person,"In 1960, under the name Jamie Horton, she had a minor hit with the song ""Robot Man"", a Connie Francis cover.",0,1,,3521750
http://dbpedia.org/resource/Gayla_Peevey,19,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Jamie Horton,24,0.9999999999995168,0.0,person,"In 1960, under the name Jamie Horton, she had a minor hit with the song ""Robot Man"", a Connie Francis cover.",0,1,,3521750
http://dbpedia.org/resource/Cliff_Henderson,7,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person",Cliff Henderson,18,0.999999999998451,0.0,person,She is married to Cliff Henderson.,2,3,== Biography ==,3521750
http://dbpedia.org/resource/Sydney_Forest,6,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Sydney Forest,22,0.9999999977258227,0.0,person,"They have a daughter, Sydney Forest, and three grandchildren.",3,3,== Biography ==,3521750
