entType,URI,types,sentence,sentenceIndex,paragraphIndex,section,support,entity,offset,similarityScore,percentageOfSecondRank,wikiPageID
person,http://dbpedia.org/resource/Poet,http://dbpedia.org/ontology/Person,"Félix Leclerc,  (August 2, 1914 – August 8, 1988) was a French-Canadian singer-songwriter, poet, writer, actor and Québécois political activist.",0,0,,,,,,,1107893
place,http://dbpedia.org/resource/Canada,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country","He was made an Officer of the Order of Canada on December 20, 1968.",1,0,,184784,Canada,39,0.9994857378189032,1.7801262944711107E-4,1107893
person,http://dbpedia.org/resource/Philippe_Leclerc_de_Hauteclocque,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q82955,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Politician","Leclerc was posthumously inducted into the Canadian Songwriters Hall of Fame for his songs ""Moi, mes souliers"", ""Le P'tit Bonheur"" and ""Le Tour de l'île"" in 2006.",2,0,,265,Leclerc,0,0.5459933519025374,0.6361704946292266,1107893
person,http://dbpedia.org/resource/Daniel_arap_Moi,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q82955,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Politician","Leclerc was posthumously inducted into the Canadian Songwriters Hall of Fame for his songs ""Moi, mes souliers"", ""Le P'tit Bonheur"" and ""Le Tour de l'île"" in 2006.",2,0,,530,Moi,92,0.9999997696756092,2.3023092083936986E-7,1107893
place,"http://dbpedia.org/resource/La_Tuque,_Quebec","Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","Félix Leclerc was born in La Tuque, Quebec, Canada in 1914, the sixth in a family of eleven children.",0,2,== History ==,638,"La Tuque, Quebec",27,1.0,0.0,1107893
place,http://dbpedia.org/resource/Canada,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country","Félix Leclerc was born in La Tuque, Quebec, Canada in 1914, the sixth in a family of eleven children.",0,2,== History ==,184784,Canada,45,0.999062893550328,4.0976726797404607E-4,1107893
place,http://dbpedia.org/resource/Ottawa,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",He began his studies at the University of Ottawa but was forced to stop because of the Great Depression.,1,2,== History ==,28872,Ottawa,42,0.999194888947437,4.2186798331499993E-4,1107893
person,http://dbpedia.org/resource/Josh_Homme,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","He also acted in various dramas, including Un Homme et son péché.",3,3,== History ==,569,Homme,46,0.9999999987919637,1.1554495814890607E-9,1107893
place,http://dbpedia.org/resource/Paris,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","In 1950, he was discovered by Paris impresario, Jacques Canetti, and performed in France to great success.",0,4,== History ==,139486,Paris,30,0.9999832627372671,1.672873980574712E-5,1107893
place,http://dbpedia.org/resource/France,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country","In 1950, he was discovered by Paris impresario, Jacques Canetti, and performed in France to great success.",0,4,== History ==,262297,France,82,0.9996082448741874,1.3767593967999896E-4,1107893
person,http://dbpedia.org/resource/Impresario,http://dbpedia.org/ontology/Person,"In 1950, he was discovered by Paris impresario, Jacques Canetti, and performed in France to great success.",0,4,== History ==,,,,,,1107893
person,http://dbpedia.org/resource/Jacques_Canetti,http://dbpedia.org/ontology/Person,"In 1950, he was discovered by Paris impresario, Jacques Canetti, and performed in France to great success.",0,4,== History ==,,,,,,1107893
person,http://dbpedia.org/resource/Charles_Cros,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","In 1958, he received the top award of the Académie Charles Cros in France for his second album.",3,4,== History ==,65,Charles Cros,52,1.0,8.286116310409921E-15,1107893
place,http://dbpedia.org/resource/France,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country","In 1958, he received the top award of the Académie Charles Cros in France for his second album.",3,4,== History ==,262297,France,68,0.7621624029875906,0.2636960958294715,1107893
place,http://dbpedia.org/resource/Canada,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country","He was invested into the Order of Canada in 1971, the National Order of Québec and became a Chevalier of the French Légion d'honneur in 1986.",4,4,== History ==,184784,Canada,34,0.9992531254832591,4.68565925974227E-4,1107893
person,http://dbpedia.org/resource/Philippe_Leclerc_de_Hauteclocque,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q82955,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Politician","Leclerc was the father of three children: the photographer and cameraman Martin Leclerc, film director Francis Leclerc and Nathalie Leclerc, general and artistic director of l’Espace Félix-Leclerc and vice-president of the Fondation Félix-Leclerc.",0,5,== History ==,265,Leclerc,0,0.5010816988853304,0.6949808575952366,1107893
person,http://dbpedia.org/resource/Philippe_Leclerc_de_Hauteclocque,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q82955,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Politician","Leclerc was the father of three children: the photographer and cameraman Martin Leclerc, film director Francis Leclerc and Nathalie Leclerc, general and artistic director of l’Espace Félix-Leclerc and vice-president of the Fondation Félix-Leclerc.",0,5,== History ==,265,Leclerc,80,0.5010816988853304,0.6949808575952366,1107893
person,http://dbpedia.org/resource/Philippe_Leclerc_de_Hauteclocque,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q82955,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Politician","Leclerc was the father of three children: the photographer and cameraman Martin Leclerc, film director Francis Leclerc and Nathalie Leclerc, general and artistic director of l’Espace Félix-Leclerc and vice-president of the Fondation Félix-Leclerc.",0,5,== History ==,265,Leclerc,132,0.5010816988853304,0.6949808575952366,1107893
place,http://dbpedia.org/resource/Lâ,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","Leclerc was the father of three children: the photographer and cameraman Martin Leclerc, film director Francis Leclerc and Nathalie Leclerc, general and artistic director of l’Espace Félix-Leclerc and vice-president of the Fondation Félix-Leclerc.",0,5,== History ==,2,lâ,174,0.6694670476882897,0.0,1107893
person,http://dbpedia.org/resource/Photographer,http://dbpedia.org/ontology/Person,"Leclerc was the father of three children: the photographer and cameraman Martin Leclerc, film director Francis Leclerc and Nathalie Leclerc, general and artistic director of l’Espace Félix-Leclerc and vice-president of the Fondation Félix-Leclerc.",0,5,== History ==,,,,,,1107893
person,http://dbpedia.org/resource/Film_director,http://dbpedia.org/ontology/Person,"Leclerc was the father of three children: the photographer and cameraman Martin Leclerc, film director Francis Leclerc and Nathalie Leclerc, general and artistic director of l’Espace Félix-Leclerc and vice-president of the Fondation Félix-Leclerc.",0,5,== History ==,,,,,,1107893
person,http://dbpedia.org/resource/Francis_Leclerc,http://dbpedia.org/ontology/Person,"Leclerc was the father of three children: the photographer and cameraman Martin Leclerc, film director Francis Leclerc and Nathalie Leclerc, general and artistic director of l’Espace Félix-Leclerc and vice-president of the Fondation Félix-Leclerc.",0,5,== History ==,,,,,,1107893
person,http://dbpedia.org/resource/Artistic_director,http://dbpedia.org/ontology/Person,"Leclerc was the father of three children: the photographer and cameraman Martin Leclerc, film director Francis Leclerc and Nathalie Leclerc, general and artistic director of l’Espace Félix-Leclerc and vice-president of the Fondation Félix-Leclerc.",0,5,== History ==,,,,,,1107893
place,http://dbpedia.org/resource/Ans,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","He died in his sleep in Saint-Pierre-de-l'Île-d'Orléans, Québec, in 1988.",0,6,== History ==,95,ans,54,0.9999999909927908,0.0,1107893
place,http://dbpedia.org/resource/Vaudreuil-Dorion,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","A house which he occupied from 1956 to 1967 (and where his son Martin stayed with his mother for another year) is also a museum in his honour in Vaudreuil-Dorion, west of Montréal.",2,6,== History ==,203,Vaudreuil-Dorion,145,1.0,0.0,1107893
place,http://dbpedia.org/resource/Canada,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country","In 2000, the Government of Canada honored him with a postage stamp.",2,8,== History ==,184784,Canada,27,0.9992042647928259,6.230889972921722E-4,1107893
person,http://dbpedia.org/resource/Francis_Leclerc,http://dbpedia.org/ontology/Person,"His semi-autobiographical novel Pieds nus dans l'aube was adapted by his son, filmmaker Francis Leclerc, as the 2017 film Barefoot at Dawn.",0,9,== History ==,,,,,,1107893
place,http://dbpedia.org/resource/Republic_of_Ireland,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",Le roi heureux (1962),0,16,== Recordings ==,45046,roi,3,0.9999954474038366,0.0,1107893
person,http://dbpedia.org/resource/Daniel_arap_Moi,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q82955,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Politician",Moi mes chansons (1966),0,19,== Recordings ==,530,Moi,0,0.9868479579701915,0.013321912157428773,1107893
