URI,support,types,entity,offset,similarityScore,percentageOfSecondRank,entType,sentence,sentenceIndex,paragraphIndex,section,wikiPageID
http://dbpedia.org/resource/Peter_Blair_(wrestler),2.0,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Athlete",Peter Blair,0.0,1.0,0.0,person,"Peter Blair Denis Bernard Noone (born 5 November 1947) is an English singer-songwriter, guitarist, pianist and actor.",0,0,,762314
http://dbpedia.org/resource/Denis_Bernard_(actor),,http://dbpedia.org/ontology/Person,,,,,person,"Peter Blair Denis Bernard Noone (born 5 November 1947) is an English singer-songwriter, guitarist, pianist and actor.",0,0,,762314
http://dbpedia.org/resource/Bede,3159.0,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q43115,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Cleric,DBpedia:Agent,DBpedia:Saint",Bede,213.0,0.9991479873577775,0.0008520585141174824,person,"Noone was born in Davyhulme, Lancashire, England, the second of five children, the son of an accountant, and attended English Martyrs (Urmston), Wellacre Primary School (Flixton), Stretford Grammar School, and St Bede's College, Manchester.",0,2,== Early life ==,762314
http://dbpedia.org/resource/Lancashire,20003.0,"Wikidata:Q3455524,Schema:Place,Schema:AdministrativeArea,DBpedia:Region,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:AdministrativeRegion",Lancashire,29.0,0.9999999567907604,4.307912184123664e-08,place,"Noone was born in Davyhulme, Lancashire, England, the second of five children, the son of an accountant, and attended English Martyrs (Urmston), Wellacre Primary School (Flixton), Stretford Grammar School, and St Bede's College, Manchester.",0,2,== Early life ==,762314
http://dbpedia.org/resource/Urmston,216.0,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement",Urmston,135.0,0.99999959879653,4.0120362908673893e-07,place,"Noone was born in Davyhulme, Lancashire, England, the second of five children, the son of an accountant, and attended English Martyrs (Urmston), Wellacre Primary School (Flixton), Stretford Grammar School, and St Bede's College, Manchester.",0,2,== Early life ==,762314
http://dbpedia.org/resource/Flixton_railway_station,65.0,"Wikidata:Q719456,Schema:Place,DBpedia:Place,DBpedia:Location,DBpedia:Infrastructure,DBpedia:ArchitecturalStructure,DBpedia:Station",Flixton,170.0,1.0,5.771057154018968e-15,place,"Noone was born in Davyhulme, Lancashire, England, the second of five children, the son of an accountant, and attended English Martyrs (Urmston), Wellacre Primary School (Flixton), Stretford Grammar School, and St Bede's College, Manchester.",0,2,== Early life ==,762314
http://dbpedia.org/resource/Manchester,48733.0,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",Manchester,229.0,0.9999999954833924,4.502278881451131e-09,place,"Noone was born in Davyhulme, Lancashire, England, the second of five children, the son of an accountant, and attended English Martyrs (Urmston), Wellacre Primary School (Flixton), Stretford Grammar School, and St Bede's College, Manchester.",0,2,== Early life ==,762314
http://dbpedia.org/resource/Accountant,,http://dbpedia.org/ontology/Person,,,,,person,"Noone was born in Davyhulme, Lancashire, England, the second of five children, the son of an accountant, and attended English Martyrs (Urmston), Wellacre Primary School (Flixton), Stretford Grammar School, and St Bede's College, Manchester.",0,2,== Early life ==,762314
http://dbpedia.org/resource/Manchester,48733.0,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",Manchester,37.0,0.9965570743553552,0.0033919202296976,place,"Noone studied voice and drama at the Manchester School of Music, where he won the Outstanding Young Musician Award.",1,3,== Early life ==,762314
http://dbpedia.org/resource/Musician,,http://dbpedia.org/ontology/Person,,,,,person,"Noone studied voice and drama at the Manchester School of Music, where he won the Outstanding Young Musician Award.",1,3,== Early life ==,762314
http://dbpedia.org/resource/Lisberg,7.0,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement",Lisberg,108.0,0.9999967403940934,0.0,place,"At 15, he became the lead singer, spokesman and frontman of Herman's Hermits, who were discovered by Harvey Lisberg.",1,6,== Career == | === Herman's Hermits ===,762314
http://dbpedia.org/resource/United_States,551746.0,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",U.S.,200.0,0.9876049813032786,0.0103667898420043,place,"The band's hits included:  ""I'm into Something Good"", ""Can't You Hear My Heartbeat"", ""Mrs. Brown, You've Got a Lovely Daughter"", ""Silhouettes"", ""Wonderful World"", ""I'm Henry the Eighth, I Am"" (in the U.S.), ""Just a Little Bit Better"", ""A Must to Avoid"", ""Listen People"", ""The End of the World"", ""Dandy"", and ""No Milk Today"".",3,6,== Career == | === Herman's Hermits ===,762314
http://dbpedia.org/resource/United_States,551746.0,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",U.S.,36.0,0.9807252430820708,0.0169427904415987,place,"The Hermits were twice named in the U.S. trade paper Cashbox as ""Entertainer of the Year"".",5,6,== Career == | === Herman's Hermits ===,762314
http://dbpedia.org/resource/Jackie_Gleason,824.0,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person",Jackie Gleason,99.0,1.0,0.0,person,"As Herman, Noone performed on hundreds of television programmes and appeared with the Ed Sullivan, Jackie Gleason, Dean Martin and Danny Kaye television programs.",0,7,== Career == | === Herman's Hermits ===,762314
