entType,URI,types,sentence,sentenceIndex,paragraphIndex,section,support,entity,offset,similarityScore,percentageOfSecondRank,wikiPageID,timeEntityType
person,http://dbpedia.org/resource/Composer,http://dbpedia.org/ontology/Person,"Jehan-Aristide Paul Alain [ʒɑ̃ aʁist alɛ̃] (3 February 1911 – 20 June 1940) was a French organist, composer, and soldier.",0,0,,,,,,,1052490,
event,http://dbpedia.org/resource/World_War_II,"Wikidata:Q1656682,DUL:Event,Schema:Event,DBpedia:SocietalEvent,DBpedia:Event,DBpedia:MilitaryConflict","Born into a family of musicians, he learned the organ from his father and a host of other teachers, becoming a composer at 18, and composing until the outbreak of the Second World War 10 years later.",1,0,,254679.0,Second World War,167.0,0.9996372504109164,0.0003600861373538037,1052490,
person,http://dbpedia.org/resource/Composer,http://dbpedia.org/ontology/Person,"Born into a family of musicians, he learned the organ from his father and a host of other teachers, becoming a composer at 18, and composing until the outbreak of the Second World War 10 years later.",1,0,,,,,,,1052490,
person,http://dbpedia.org/resource/Claude_Debussy,http://dbpedia.org/ontology/Person,"His compositional style was influenced by the musical language of the earlier Claude Debussy, and his contemporary Olivier Messiaen, as well as his interest in music, dance and philosophy of the far east.",2,0,,,,,,,1052490,
person,http://dbpedia.org/resource/Olivier_Messiaen,http://dbpedia.org/ontology/Person,"His compositional style was influenced by the musical language of the earlier Claude Debussy, and his contemporary Olivier Messiaen, as well as his interest in music, dance and philosophy of the far east.",2,0,,,,,,,1052490,
place,http://dbpedia.org/resource/Saumur,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","At the outbreak of the Second World War, Alain became a dispatch rider in the Eighth Motorised Armour Division of the French Army; he took part in the Battle of Saumur, in which he was killed.",3,0,,784.0,Saumur,161.0,0.9967912732930532,0.0032187969123623,1052490,
event,http://dbpedia.org/resource/World_War_II,"Wikidata:Q1656682,DUL:Event,Schema:Event,DBpedia:SocietalEvent,DBpedia:Event,DBpedia:MilitaryConflict","At the outbreak of the Second World War, Alain became a dispatch rider in the Eighth Motorised Armour Division of the French Army; he took part in the Battle of Saumur, in which he was killed.",3,0,,254679.0,Second World War,23.0,0.9995441121414336,0.0004510375361464042,1052490,
person,http://dbpedia.org/resource/Olivier_Alain,http://dbpedia.org/ontology/Person,His younger brother was composer-organist-pianist-musicologist Olivier Alain and his younger sister was renowned organist Marie-Claire Alain who was also responsible for popularising his works.,0,1,,,,,,,1052490,
person,http://dbpedia.org/resource/Marie-Claire_Alain,http://dbpedia.org/ontology/Person,His younger brother was composer-organist-pianist-musicologist Olivier Alain and his younger sister was renowned organist Marie-Claire Alain who was also responsible for popularising his works.,0,1,,,,,,,1052490,
place,http://dbpedia.org/resource/Saint-Germain-en-Laye,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","Alain was born in Saint-Germain-en-Laye in the western suburbs of Paris, into a family of musicians.",0,3,== Biography ==,772.0,Saint-Germain-en-Laye,18.0,0.9997368858345154,0.00026318284544007384,1052490,
