entType,URI,types,sentence,sentenceIndex,paragraphIndex,section,support,entity,offset,similarityScore,percentageOfSecondRank,wikiPageID
person,http://dbpedia.org/resource/Composer,http://dbpedia.org/ontology/Person,"Camille Lucie Nickerson (March 30, 1888 – April 27, 1982) was a pianist, composer, arranger, collector, and Howard University professor from 1926 to 1962.",0,0,,,,,,,1425206
place,http://dbpedia.org/resource/Louisiana,"Wikidata:Q3455524,Schema:Place,Schema:AdministrativeArea,DBpedia:Region,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:AdministrativeRegion","She was influenced by Creole folksongs of Louisiana, which she arranged and sang.",1,0,,51701.0,Louisiana,42.0,0.9999854342132134,9.587606228994816e-06,1425206
place,http://dbpedia.org/resource/French_Quarter,"Wikidata:Q486972,Schema:Place,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:CityDistrict","Nickerson was born in the French Quarter of New Orleans, the daughter of music professor and band director William Joseph Nickerson and his first wife, Aurelie Duconge.",0,2,== Early life and education ==,945.0,French Quarter,26.0,0.9999998476915382,1.5200890966314398e-07,1425206
place,http://dbpedia.org/resource/New_Orleans,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","Nickerson was born in the French Quarter of New Orleans, the daughter of music professor and band director William Joseph Nickerson and his first wife, Aurelie Duconge.",0,2,== Early life and education ==,43702.0,New Orleans,44.0,0.9998364483423428,0.00012783673041469082,1425206
person,http://dbpedia.org/resource/William_Joseph_Denison,http://dbpedia.org/ontology/Person,"Nickerson was born in the French Quarter of New Orleans, the daughter of music professor and band director William Joseph Nickerson and his first wife, Aurelie Duconge.",0,2,== Early life and education ==,,,,,,1425206
place,http://dbpedia.org/resource/Louisiana,"Wikidata:Q3455524,Schema:Place,Schema:AdministrativeArea,DBpedia:Region,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:AdministrativeRegion","Her master's thesis at Oberlin was titled ""Afro-Creole Music in Louisiana: A Thesis on the Plantation Songs Created by the Creole Negroes of Louisiana.",4,2,== Early life and education ==,51701.0,Louisiana,64.0,0.9999977995272838,1.7529613115197038e-06,1425206
place,http://dbpedia.org/resource/Louisiana,"Wikidata:Q3455524,Schema:Place,Schema:AdministrativeArea,DBpedia:Region,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:AdministrativeRegion","Her master's thesis at Oberlin was titled ""Afro-Creole Music in Louisiana: A Thesis on the Plantation Songs Created by the Creole Negroes of Louisiana.",4,2,== Early life and education ==,51701.0,Louisiana,141.0,0.9999977995272838,1.7529613115197038e-06,1425206
place,http://dbpedia.org/resource/New_Orleans,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","Nickerson taught at her father's school in New Orleans as a young woman, and played organ and piano recitals in Black churches.",0,4,== Career ==,43702.0,New Orleans,43.0,0.9999298209762414,4.04067658574457e-05,1425206
place,"http://dbpedia.org/resource/La_Plaine,_Quebec","Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","As a music scholar, she researched folksongs and collected Creole songs, creating her own arrangements of songs including Michieu banjo and Lizette, to quitte la plaine.",2,4,== Career ==,24.0,la plaine,159.0,0.6643597448436307,0.3723958333333352,1425206
place,http://dbpedia.org/resource/United_States,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country","During the 1930s and into the 1950s she toured the United States as ""The Louisiana Lady"", singing creole songs and dressed in a series of ruffled gowns to evoke New Orleans history.",3,4,== Career ==,551746.0,United States,51.0,0.9999841573666826,6.46641548346229e-06,1425206
