types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Germanic_peoples,Germanic,4922,108,0.5998223010818065,0.6401838623977549,2,52,== Views == | === Anglo-Saxonism ===
http://dbpedia.org/class/yago/WikicatAncientGermanicPeoples,http://dbpedia.org/resource/Germanic_peoples,Germanic,4922,108,0.5998223010818065,0.6401838623977549,2,52,== Views == | === Anglo-Saxonism ===
http://dbpedia.org/class/yago/WikicatHistoricalEthnicGroupsOfEurope,http://dbpedia.org/resource/Germanic_peoples,Germanic,4922,108,0.5998223010818065,0.6401838623977549,2,52,== Views == | === Anglo-Saxonism ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Germanic_peoples,Germanic,4922,108,0.5998223010818065,0.6401838623977549,2,52,== Views == | === Anglo-Saxonism ===
http://dbpedia.org/ontology/EthnicGroup,http://dbpedia.org/resource/Germanic_peoples,Germanic,4922,108,0.5998223010818065,0.6401838623977549,2,52,== Views == | === Anglo-Saxonism ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Germanic_peoples,Germanic,4922,108,0.5998223010818065,0.6401838623977549,2,52,== Views == | === Anglo-Saxonism ===
http://dbpedia.org/class/yago/EthnicGroup107967382,http://dbpedia.org/resource/Germanic_peoples,Germanic,4922,108,0.5998223010818065,0.6401838623977549,2,52,== Views == | === Anglo-Saxonism ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Germanic_peoples,Germanic,4922,108,0.5998223010818065,0.6401838623977549,2,52,== Views == | === Anglo-Saxonism ===
http://dbpedia.org/class/yago/People107942152,http://dbpedia.org/resource/Germanic_peoples,Germanic,4922,108,0.5998223010818065,0.6401838623977549,2,52,== Views == | === Anglo-Saxonism ===
http://dbpedia.org/class/yago/WikicatEthnicGroupsInEurope,http://dbpedia.org/resource/Germanic_peoples,Germanic,4922,108,0.5998223010818065,0.6401838623977549,2,52,== Views == | === Anglo-Saxonism ===
http://dbpedia.org/class/yago/WikicatEthnicGroupsInEuropeByLanguageFamily,http://dbpedia.org/resource/Germanic_peoples,Germanic,4922,108,0.5998223010818065,0.6401838623977549,2,52,== Views == | === Anglo-Saxonism ===
http://dbpedia.org/class/yago/WikicatEthnicGroupsInNorway,http://dbpedia.org/resource/Germanic_peoples,Germanic,4922,108,0.5998223010818065,0.6401838623977549,2,52,== Views == | === Anglo-Saxonism ===
http://dbpedia.org/class/yago/WikicatGermanicPeoples,http://dbpedia.org/resource/Germanic_peoples,Germanic,4922,108,0.5998223010818065,0.6401838623977549,2,52,== Views == | === Anglo-Saxonism ===
