types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/resource/Arkham,Arkham,311,9,0.6662506140098386,0.4871613941385096,0,13,== Discography == | === Singoli ===
http://dbpedia.org/class/yago/WikicatCthulhuMythosLocations,http://dbpedia.org/resource/Arkham,Arkham,311,9,0.6662506140098386,0.4871613941385096,0,13,== Discography == | === Singoli ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Arkham,Arkham,311,9,0.6662506140098386,0.4871613941385096,0,13,== Discography == | === Singoli ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Arkham,Arkham,311,9,0.6662506140098386,0.4871613941385096,0,13,== Discography == | === Singoli ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Arkham,Arkham,311,9,0.6662506140098386,0.4871613941385096,0,13,== Discography == | === Singoli ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Arkham,Arkham,311,9,0.6662506140098386,0.4871613941385096,0,13,== Discography == | === Singoli ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Arkham,Arkham,311,9,0.6662506140098386,0.4871613941385096,0,13,== Discography == | === Singoli ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Arkham,Arkham,311,9,0.6662506140098386,0.4871613941385096,0,13,== Discography == | === Singoli ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Arkham,Arkham,311,9,0.6662506140098386,0.4871613941385096,0,13,== Discography == | === Singoli ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Arkham,Arkham,311,9,0.6662506140098386,0.4871613941385096,0,13,== Discography == | === Singoli ===
http://dbpedia.org/class/yago/Site108651247,http://dbpedia.org/resource/Arkham,Arkham,311,9,0.6662506140098386,0.4871613941385096,0,13,== Discography == | === Singoli ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/Arkham,Arkham,311,9,0.6662506140098386,0.4871613941385096,0,13,== Discography == | === Singoli ===
http://dbpedia.org/class/yago/WikicatFictionalLocations,http://dbpedia.org/resource/Arkham,Arkham,311,9,0.6662506140098386,0.4871613941385096,0,13,== Discography == | === Singoli ===
http://dbpedia.org/class/yago/WikicatFictionalPopulatedPlaces,http://dbpedia.org/resource/Arkham,Arkham,311,9,0.6662506140098386,0.4871613941385096,0,13,== Discography == | === Singoli ===
http://dbpedia.org/class/yago/WikicatFictionalPopulatedPlacesInMassachusetts,http://dbpedia.org/resource/Arkham,Arkham,311,9,0.6662506140098386,0.4871613941385096,0,13,== Discography == | === Singoli ===
