types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Primavera_Sound,Primavera festival,252,102,1.0,0.0,0,8,== Musical career == | === Live Performances ===
http://dbpedia.org/ontology/SocietalEvent,http://dbpedia.org/resource/Primavera_Sound,Primavera festival,252,102,1.0,0.0,0,8,== Musical career == | === Live Performances ===
http://dbpedia.org/class/yago/WikicatMusicFestivals,http://dbpedia.org/resource/Primavera_Sound,Primavera festival,252,102,1.0,0.0,0,8,== Musical career == | === Live Performances ===
http://dbpedia.org/class/yago/WikicatMusicFestivalsInCatalonia,http://dbpedia.org/resource/Primavera_Sound,Primavera festival,252,102,1.0,0.0,0,8,== Musical career == | === Live Performances ===
http://dbpedia.org/class/yago/WikicatMusicFestivalsInPortugal,http://dbpedia.org/resource/Primavera_Sound,Primavera festival,252,102,1.0,0.0,0,8,== Musical career == | === Live Performances ===
http://dbpedia.org/class/yago/WikicatMusicFestivalsInSpain,http://dbpedia.org/resource/Primavera_Sound,Primavera festival,252,102,1.0,0.0,0,8,== Musical career == | === Live Performances ===
http://dbpedia.org/class/yago/WikicatRockFestivals,http://dbpedia.org/resource/Primavera_Sound,Primavera festival,252,102,1.0,0.0,0,8,== Musical career == | === Live Performances ===
http://dbpedia.org/class/yago/WikicatRockFestivalsInSpain,http://dbpedia.org/resource/Primavera_Sound,Primavera festival,252,102,1.0,0.0,0,8,== Musical career == | === Live Performances ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Primavera_Sound,Primavera festival,252,102,1.0,0.0,0,8,== Musical career == | === Live Performances ===
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/Primavera_Sound,Primavera festival,252,102,1.0,0.0,0,8,== Musical career == | === Live Performances ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Primavera_Sound,Primavera festival,252,102,1.0,0.0,0,8,== Musical career == | === Live Performances ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Primavera_Sound,Primavera festival,252,102,1.0,0.0,0,8,== Musical career == | === Live Performances ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Primavera_Sound,Primavera festival,252,102,1.0,0.0,0,8,== Musical career == | === Live Performances ===
