types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/Casualty109899782,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/ontology/Artist,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/WikicatGermanExpressionistPainters,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/WikicatGermanPainters,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/WikicatGermanPeopleOfWorldWarI,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/WikicatPeopleFromMeschede,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/WikicatPeopleFromNorthRhine-Westphalia,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/WikicatPeopleFromTheProvinceOfWestphalia,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/WikicatPeopleOfWorldWarI,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/Unfortunate109630641,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/Victim110752093,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/Wikicat20th-centuryGermanPainters,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/Wikicat20th-centuryPainters,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/Painter110391653,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/WikicatExpressionistPainters,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/WikicatWorldWarICasualties,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/August_Macke,August Macke,202,26,0.9999999999999716,0.0,4,16,== Marriage and early years == | === Military career ===
