types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Film,http://dbpedia.org/resource/Radium_Girl,Radium Girl,7,77,0.999999999995964,0.0,0,79,== Discography == | === Singles ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Radium_Girl,Radium Girl,7,77,0.999999999995964,0.0,0,79,== Discography == | === Singles ===
http://dbpedia.org/class/yago/WikicatMagicTricks,http://dbpedia.org/resource/Radium_Girl,Radium Girl,7,77,0.999999999995964,0.0,0,79,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Radium_Girl,Radium Girl,7,77,0.999999999995964,0.0,0,79,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Radium_Girl,Radium Girl,7,77,0.999999999995964,0.0,0,79,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Radium_Girl,Radium Girl,7,77,0.999999999995964,0.0,0,79,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Radium_Girl,Radium Girl,7,77,0.999999999995964,0.0,0,79,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Entertainment100429048,http://dbpedia.org/resource/Radium_Girl,Radium Girl,7,77,0.999999999995964,0.0,0,79,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Radium_Girl,Radium Girl,7,77,0.999999999995964,0.0,0,79,== Discography == | === Singles ===
http://dbpedia.org/class/yago/MagicTrick100099951,http://dbpedia.org/resource/Radium_Girl,Radium Girl,7,77,0.999999999995964,0.0,0,79,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Performance100550771,http://dbpedia.org/resource/Radium_Girl,Radium Girl,7,77,0.999999999995964,0.0,0,79,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Presentation100521562,http://dbpedia.org/resource/Radium_Girl,Radium Girl,7,77,0.999999999995964,0.0,0,79,== Discography == | === Singles ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Radium_Girl,Radium Girl,7,77,0.999999999995964,0.0,0,79,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Show100520257,http://dbpedia.org/resource/Radium_Girl,Radium Girl,7,77,0.999999999995964,0.0,0,79,== Discography == | === Singles ===
