types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/MilitaryConflict,http://dbpedia.org/resource/Syrian_occupation_of_Lebanon,Syrian occupation,144,19,1.0,0.0,2,7,== Life and career == | === Solo career ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Mountain_Studios,Mountain Studios,57,366,1.0,0.0,6,9,== Life and career == | === International success ===
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Mountain_Studios,Mountain Studios,57,366,1.0,0.0,6,9,== Life and career == | === International success ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Mountain_Studios,Mountain Studios,57,366,1.0,0.0,6,9,== Life and career == | === International success ===
http://dbpedia.org/class/yago/Workplace104602044,http://dbpedia.org/resource/Mountain_Studios,Mountain Studios,57,366,1.0,0.0,6,9,== Life and career == | === International success ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Mountain_Studios,Mountain Studios,57,366,1.0,0.0,6,9,== Life and career == | === International success ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Mountain_Studios,Mountain Studios,57,366,1.0,0.0,6,9,== Life and career == | === International success ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Mountain_Studios,Mountain Studios,57,366,1.0,0.0,6,9,== Life and career == | === International success ===
http://dbpedia.org/class/yago/WikicatRecordingStudios,http://dbpedia.org/resource/Mountain_Studios,Mountain Studios,57,366,1.0,0.0,6,9,== Life and career == | === International success ===
http://dbpedia.org/class/yago/WikicatRecordingStudiosInSwitzerland,http://dbpedia.org/resource/Mountain_Studios,Mountain Studios,57,366,1.0,0.0,6,9,== Life and career == | === International success ===
http://dbpedia.org/class/yago/GeographicPoint108578706,http://dbpedia.org/resource/Mountain_Studios,Mountain Studios,57,366,1.0,0.0,6,9,== Life and career == | === International success ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Mountain_Studios,Mountain Studios,57,366,1.0,0.0,6,9,== Life and career == | === International success ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Mountain_Studios,Mountain Studios,57,366,1.0,0.0,6,9,== Life and career == | === International success ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Mountain_Studios,Mountain Studios,57,366,1.0,0.0,6,9,== Life and career == | === International success ===
http://dbpedia.org/class/yago/Point108620061,http://dbpedia.org/resource/Mountain_Studios,Mountain Studios,57,366,1.0,0.0,6,9,== Life and career == | === International success ===
http://dbpedia.org/class/yago/RecordingStudio104064107,http://dbpedia.org/resource/Mountain_Studios,Mountain Studios,57,366,1.0,0.0,6,9,== Life and career == | === International success ===
http://dbpedia.org/class/yago/Studio104344246,http://dbpedia.org/resource/Mountain_Studios,Mountain Studios,57,366,1.0,0.0,6,9,== Life and career == | === International success ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Rapino_Brothers,The Rapino Brothers,23,229,1.0,0.0,0,12,"== Life and career == | ==== ""Beautiful Life"" ===="
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/The_Rapino_Brothers,The Rapino Brothers,23,229,1.0,0.0,0,12,"== Life and career == | ==== ""Beautiful Life"" ===="
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,United Nations Human Rights Council,1630,143,1.0,0.0,0,23,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/WikicatHumanRightsOrganizations,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,United Nations Human Rights Council,1630,143,1.0,0.0,0,23,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/WikicatIntergovernmentalHumanRightsOrganizations,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,United Nations Human Rights Council,1630,143,1.0,0.0,0,23,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/WikicatUnitedNations,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,United Nations Human Rights Council,1630,143,1.0,0.0,0,23,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,United Nations Human Rights Council,1630,143,1.0,0.0,0,23,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,United Nations Human Rights Council,1630,143,1.0,0.0,0,23,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,United Nations Human Rights Council,1630,143,1.0,0.0,0,23,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,United Nations Human Rights Council,1630,143,1.0,0.0,0,23,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,United Nations Human Rights Council,1630,143,1.0,0.0,0,23,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,United Nations Human Rights Council,1630,143,1.0,0.0,0,23,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/PoliticalUnit108359949,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,United Nations Human Rights Council,1630,143,1.0,0.0,0,23,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,United Nations Human Rights Council,1630,143,1.0,0.0,0,23,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/State108168978,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,United Nations Human Rights Council,1630,143,1.0,0.0,0,23,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,United Nations Human Rights Council,1630,143,1.0,0.0,0,23,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/WikicatOrganisationsBasedInGeneva,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,United Nations Human Rights Council,1630,143,1.0,0.0,0,23,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn2006,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,United Nations Human Rights Council,1630,143,1.0,0.0,0,23,== Activism and humanitarian work == | === Activism ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Christianity_in_Pakistan,Christians,337,184,0.6338423073952416,0.4981397167360363,0,29,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/ontology/EthnicGroup,http://dbpedia.org/resource/Christianity_in_Pakistan,Christians,337,184,0.6338423073952416,0.4981397167360363,0,29,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Christianity_in_Pakistan,Christians,337,184,0.6338423073952416,0.4981397167360363,0,29,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/EthnicGroup107967382,http://dbpedia.org/resource/Christianity_in_Pakistan,Christians,337,184,0.6338423073952416,0.4981397167360363,0,29,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Christianity_in_Pakistan,Christians,337,184,0.6338423073952416,0.4981397167360363,0,29,== Activism and humanitarian work == | === Activism ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Canada_Foundation_for_Innovation,CFI,89,117,0.9972307878727836,0.0027768520172741,1,35,== Activism and humanitarian work == | === Charity work ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Canada_Foundation_for_Innovation,CFI,89,117,0.9972307878727836,0.0027768520172741,1,35,== Activism and humanitarian work == | === Charity work ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Canada_Foundation_for_Innovation,CFI,89,117,0.9972307878727836,0.0027768520172741,1,35,== Activism and humanitarian work == | === Charity work ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Canada_Foundation_for_Innovation,CFI,89,117,0.9972307878727836,0.0027768520172741,1,35,== Activism and humanitarian work == | === Charity work ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Canada_Foundation_for_Innovation,CFI,89,117,0.9972307878727836,0.0027768520172741,1,35,== Activism and humanitarian work == | === Charity work ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Canada_Foundation_for_Innovation,CFI,89,117,0.9972307878727836,0.0027768520172741,1,35,== Activism and humanitarian work == | === Charity work ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Canada_Foundation_for_Innovation,CFI,89,117,0.9972307878727836,0.0027768520172741,1,35,== Activism and humanitarian work == | === Charity work ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Canada_Foundation_for_Innovation,CFI,89,117,0.9972307878727836,0.0027768520172741,1,35,== Activism and humanitarian work == | === Charity work ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Canada_Foundation_for_Innovation,CFI,89,117,0.9972307878727836,0.0027768520172741,1,35,== Activism and humanitarian work == | === Charity work ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Canada_Foundation_for_Innovation,CFI,89,117,0.9972307878727836,0.0027768520172741,1,35,== Activism and humanitarian work == | === Charity work ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Canada_Foundation_for_Innovation,CFI,89,117,0.9972307878727836,0.0027768520172741,1,35,== Activism and humanitarian work == | === Charity work ===
http://dbpedia.org/class/yago/WikicatNon-governmentalOrganizationsBasedInCanada,http://dbpedia.org/resource/Canada_Foundation_for_Innovation,CFI,89,117,0.9972307878727836,0.0027768520172741,1,35,== Activism and humanitarian work == | === Charity work ===
http://dbpedia.org/class/yago/WikicatTechnologyCompaniesOfCanada,http://dbpedia.org/resource/Canada_Foundation_for_Innovation,CFI,89,117,0.9972307878727836,0.0027768520172741,1,35,== Activism and humanitarian work == | === Charity work ===
http://dbpedia.org/class/yago/WikicatMethodsAndPrinciplesInArchaeology,http://dbpedia.org/resource/Partage,Partage,7,692,0.99999999993679,4.5301818364928994e-11,1,35,== Activism and humanitarian work == | === Charity work ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Partage,Partage,7,692,0.99999999993679,4.5301818364928994e-11,1,35,== Activism and humanitarian work == | === Charity work ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Partage,Partage,7,692,0.99999999993679,4.5301818364928994e-11,1,35,== Activism and humanitarian work == | === Charity work ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Partage,Partage,7,692,0.99999999993679,4.5301818364928994e-11,1,35,== Activism and humanitarian work == | === Charity work ===
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Partage,Partage,7,692,0.99999999993679,4.5301818364928994e-11,1,35,== Activism and humanitarian work == | === Charity work ===
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Partage,Partage,7,692,0.99999999993679,4.5301818364928994e-11,1,35,== Activism and humanitarian work == | === Charity work ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Partage,Partage,7,692,0.99999999993679,4.5301818364928994e-11,1,35,== Activism and humanitarian work == | === Charity work ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Lebanese_Armed_Forces,Lebanese Armed Forces,1145,80,1.0,0.0,0,42,== Activism and humanitarian work == | === Public speaking ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Lebanese_Armed_Forces,Lebanese Armed Forces,1145,80,1.0,0.0,0,42,== Activism and humanitarian work == | === Public speaking ===
http://dbpedia.org/class/yago/WikicatArmiesByCountry,http://dbpedia.org/resource/Lebanese_Armed_Forces,Lebanese Armed Forces,1145,80,1.0,0.0,0,42,== Activism and humanitarian work == | === Public speaking ===
http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/resource/Lebanese_Armed_Forces,Lebanese Armed Forces,1145,80,1.0,0.0,0,42,== Activism and humanitarian work == | === Public speaking ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Lebanese_Armed_Forces,Lebanese Armed Forces,1145,80,1.0,0.0,0,42,== Activism and humanitarian work == | === Public speaking ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Lebanese_Armed_Forces,Lebanese Armed Forces,1145,80,1.0,0.0,0,42,== Activism and humanitarian work == | === Public speaking ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Lebanese_Armed_Forces,Lebanese Armed Forces,1145,80,1.0,0.0,0,42,== Activism and humanitarian work == | === Public speaking ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Lebanese_Armed_Forces,Lebanese Armed Forces,1145,80,1.0,0.0,0,42,== Activism and humanitarian work == | === Public speaking ===
http://dbpedia.org/class/yago/Army108191230,http://dbpedia.org/resource/Lebanese_Armed_Forces,Lebanese Armed Forces,1145,80,1.0,0.0,0,42,== Activism and humanitarian work == | === Public speaking ===
http://dbpedia.org/class/yago/Force108208016,http://dbpedia.org/resource/Lebanese_Armed_Forces,Lebanese Armed Forces,1145,80,1.0,0.0,0,42,== Activism and humanitarian work == | === Public speaking ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Lebanese_Armed_Forces,Lebanese Armed Forces,1145,80,1.0,0.0,0,42,== Activism and humanitarian work == | === Public speaking ===
http://dbpedia.org/class/yago/Military108199025,http://dbpedia.org/resource/Lebanese_Armed_Forces,Lebanese Armed Forces,1145,80,1.0,0.0,0,42,== Activism and humanitarian work == | === Public speaking ===
http://dbpedia.org/class/yago/MilitaryService108198137,http://dbpedia.org/resource/Lebanese_Armed_Forces,Lebanese Armed Forces,1145,80,1.0,0.0,0,42,== Activism and humanitarian work == | === Public speaking ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Lebanese_Armed_Forces,Lebanese Armed Forces,1145,80,1.0,0.0,0,42,== Activism and humanitarian work == | === Public speaking ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Lebanese_Armed_Forces,Lebanese Armed Forces,1145,80,1.0,0.0,0,42,== Activism and humanitarian work == | === Public speaking ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Baabda_Palace,Presidential Palace,52,83,0.9999999997683632,2.3147506424800623e-10,0,50,== Honors and awards == | === Honors ===
http://dbpedia.org/class/yago/WikicatPresidentialPalaces,http://dbpedia.org/resource/Baabda_Palace,Presidential Palace,52,83,0.9999999997683632,2.3147506424800623e-10,0,50,== Honors and awards == | === Honors ===
http://dbpedia.org/ontology/Building,http://dbpedia.org/resource/Baabda_Palace,Presidential Palace,52,83,0.9999999997683632,2.3147506424800623e-10,0,50,== Honors and awards == | === Honors ===
http://dbpedia.org/class/yago/WikicatBuildingsOfTheLebaneseGovernment,http://dbpedia.org/resource/Baabda_Palace,Presidential Palace,52,83,0.9999999997683632,2.3147506424800623e-10,0,50,== Honors and awards == | === Honors ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Baabda_Palace,Presidential Palace,52,83,0.9999999997683632,2.3147506424800623e-10,0,50,== Honors and awards == | === Honors ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Baabda_Palace,Presidential Palace,52,83,0.9999999997683632,2.3147506424800623e-10,0,50,== Honors and awards == | === Honors ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Baabda_Palace,Presidential Palace,52,83,0.9999999997683632,2.3147506424800623e-10,0,50,== Honors and awards == | === Honors ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Baabda_Palace,Presidential Palace,52,83,0.9999999997683632,2.3147506424800623e-10,0,50,== Honors and awards == | === Honors ===
http://dbpedia.org/class/yago/Dwelling103259505,http://dbpedia.org/resource/Baabda_Palace,Presidential Palace,52,83,0.9999999997683632,2.3147506424800623e-10,0,50,== Honors and awards == | === Honors ===
