types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/A_Birthday_Hansel,A Birthday Hansel,7,92,1.0,0.0,7,48,== Music == | === Song cycles ===
http://dbpedia.org/class/yago/WikicatClassicalSongCycles,http://dbpedia.org/resource/A_Birthday_Hansel,A Birthday Hansel,7,92,1.0,0.0,7,48,== Music == | === Song cycles ===
http://dbpedia.org/class/yago/WikicatRobertBurns,http://dbpedia.org/resource/A_Birthday_Hansel,A Birthday Hansel,7,92,1.0,0.0,7,48,== Music == | === Song cycles ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/A_Birthday_Hansel,A Birthday Hansel,7,92,1.0,0.0,7,48,== Music == | === Song cycles ===
http://dbpedia.org/class/yago/Burn114325437,http://dbpedia.org/resource/A_Birthday_Hansel,A Birthday Hansel,7,92,1.0,0.0,7,48,== Music == | === Song cycles ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/A_Birthday_Hansel,A Birthday Hansel,7,92,1.0,0.0,7,48,== Music == | === Song cycles ===
http://dbpedia.org/class/yago/Cycle115287830,http://dbpedia.org/resource/A_Birthday_Hansel,A Birthday Hansel,7,92,1.0,0.0,7,48,== Music == | === Song cycles ===
http://dbpedia.org/class/yago/Evidence105823932,http://dbpedia.org/resource/A_Birthday_Hansel,A Birthday Hansel,7,92,1.0,0.0,7,48,== Music == | === Song cycles ===
http://dbpedia.org/class/yago/Information105816287,http://dbpedia.org/resource/A_Birthday_Hansel,A Birthday Hansel,7,92,1.0,0.0,7,48,== Music == | === Song cycles ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/A_Birthday_Hansel,A Birthday Hansel,7,92,1.0,0.0,7,48,== Music == | === Song cycles ===
http://dbpedia.org/class/yago/Pain114322699,http://dbpedia.org/resource/A_Birthday_Hansel,A Birthday Hansel,7,92,1.0,0.0,7,48,== Music == | === Song cycles ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/A_Birthday_Hansel,A Birthday Hansel,7,92,1.0,0.0,7,48,== Music == | === Song cycles ===
http://dbpedia.org/class/yago/Symptom114299637,http://dbpedia.org/resource/A_Birthday_Hansel,A Birthday Hansel,7,92,1.0,0.0,7,48,== Music == | === Song cycles ===
http://dbpedia.org/class/yago/TimeInterval115269513,http://dbpedia.org/resource/A_Birthday_Hansel,A Birthday Hansel,7,92,1.0,0.0,7,48,== Music == | === Song cycles ===
