types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Cheyne_Walk,Cheyne Walk,171,114,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Cheyne_Walk,Cheyne Walk,171,114,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Cheyne_Walk,Cheyne Walk,171,114,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/ontology/Road,http://dbpedia.org/resource/Cheyne_Walk,Cheyne Walk,171,114,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Cheyne_Walk,Cheyne Walk,171,114,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/WikicatBuildingsAndStructuresOnTheRiverThames,http://dbpedia.org/resource/Cheyne_Walk,Cheyne Walk,171,114,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Cheyne_Walk,Cheyne Walk,171,114,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Cheyne_Walk,Cheyne Walk,171,114,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Cheyne_Walk,Cheyne Walk,171,114,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Cheyne_Walk,Cheyne Walk,171,114,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Cheyne_Walk,Cheyne Walk,171,114,1.0,0.0,2,61,== Honours and legacy == | === Cultural legacy ===
