types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Political_quietism_in_Islam,quietism,50,99,0.9999796661801622,1.824573647311492e-05,2,51,== Philosophy == | ==== Quietism ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Political_quietism_in_Islam,quietism,50,99,0.9999796661801622,1.824573647311492e-05,2,51,== Philosophy == | ==== Quietism ====
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Political_quietism_in_Islam,quietism,50,99,0.9999796661801622,1.824573647311492e-05,2,51,== Philosophy == | ==== Quietism ====
http://dbpedia.org/class/yago/Controversy107183151,http://dbpedia.org/resource/Political_quietism_in_Islam,quietism,50,99,0.9999796661801622,1.824573647311492e-05,2,51,== Philosophy == | ==== Quietism ====
http://dbpedia.org/class/yago/Disagreement107180787,http://dbpedia.org/resource/Political_quietism_in_Islam,quietism,50,99,0.9999796661801622,1.824573647311492e-05,2,51,== Philosophy == | ==== Quietism ====
http://dbpedia.org/class/yago/Dispute107181935,http://dbpedia.org/resource/Political_quietism_in_Islam,quietism,50,99,0.9999796661801622,1.824573647311492e-05,2,51,== Philosophy == | ==== Quietism ====
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Political_quietism_in_Islam,quietism,50,99,0.9999796661801622,1.824573647311492e-05,2,51,== Philosophy == | ==== Quietism ====
http://dbpedia.org/class/yago/WikicatIslam-relatedControversies,http://dbpedia.org/resource/Political_quietism_in_Islam,quietism,50,99,0.9999796661801622,1.824573647311492e-05,2,51,== Philosophy == | ==== Quietism ====
http://dbpedia.org/class/yago/SpeechAct107160883,http://dbpedia.org/resource/Political_quietism_in_Islam,quietism,50,99,0.9999796661801622,1.824573647311492e-05,2,51,== Philosophy == | ==== Quietism ====
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Political_quietism_in_Islam,quietism,50,99,0.9999796661801622,1.824573647311492e-05,2,51,== Philosophy == | ==== Quietism ====
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Political_quietism_in_Islam,quietism,50,99,0.9999796661801622,1.824573647311492e-05,2,51,== Philosophy == | ==== Quietism ====
