types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/RadioProgram,http://dbpedia.org/resource/Tekzilla,Tekzilla Daily,27,32,1.0,0.0,1,10,== Career == | === Revision3 ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Tekzilla,Tekzilla Daily,27,32,1.0,0.0,1,10,== Career == | === Revision3 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Tekzilla,Tekzilla Daily,27,32,1.0,0.0,1,10,== Career == | === Revision3 ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Tekzilla,Tekzilla Daily,27,32,1.0,0.0,1,10,== Career == | === Revision3 ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Tekzilla,Tekzilla Daily,27,32,1.0,0.0,1,10,== Career == | === Revision3 ===
http://dbpedia.org/class/yago/Beginning100235435,http://dbpedia.org/resource/Tekzilla,Tekzilla Daily,27,32,1.0,0.0,1,10,== Career == | === Revision3 ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Tekzilla,Tekzilla Daily,27,32,1.0,0.0,1,10,== Career == | === Revision3 ===
http://dbpedia.org/class/yago/ChangeOfState100199130,http://dbpedia.org/resource/Tekzilla,Tekzilla Daily,27,32,1.0,0.0,1,10,== Career == | === Revision3 ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Tekzilla,Tekzilla Daily,27,32,1.0,0.0,1,10,== Career == | === Revision3 ===
http://dbpedia.org/class/yago/Introduction100238022,http://dbpedia.org/resource/Tekzilla,Tekzilla Daily,27,32,1.0,0.0,1,10,== Career == | === Revision3 ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Tekzilla,Tekzilla Daily,27,32,1.0,0.0,1,10,== Career == | === Revision3 ===
http://dbpedia.org/class/yago/Wikicat2007AmericanTelevisionSeriesDebuts,http://dbpedia.org/resource/Tekzilla,Tekzilla Daily,27,32,1.0,0.0,1,10,== Career == | === Revision3 ===
http://dbpedia.org/class/yago/Wikicat2007WebSeriesDebuts,http://dbpedia.org/resource/Tekzilla,Tekzilla Daily,27,32,1.0,0.0,1,10,== Career == | === Revision3 ===
