types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/WikicatAmericanComposers,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/WikicatAmericanPianists,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Pianist110430665,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Mick_Rossi,Mick Rossi,20,91,0.9999999999998296,0.0,0,4,== Biography == | === Solo career ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Joaquín_Lluch_y_Garriga,Lluch,7,84,0.8763626801809914,0.0,0,16,== Biography == | === Sci-Fi Superstars ===
http://dbpedia.org/ontology/MilitaryPerson,http://dbpedia.org/resource/World_war,World War Four,1649,5,0.9999999999961346,0.0,0,25,== Solo discography == | === Solo/Martin Degville ===
http://dbpedia.org/ontology/Country,http://dbpedia.org/resource/World_war,World War Four,1649,5,0.9999999999961346,0.0,0,25,== Solo discography == | === Solo/Martin Degville ===
