types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/FictionalCharacter,http://dbpedia.org/resource/Prince_Myshkin,Myshkin,44,12,0.7421997275546556,0.3473462234560746,0,6,== Discography == | === Albums ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Prince_Myshkin,Myshkin,44,12,0.7421997275546556,0.3473462234560746,0,6,== Discography == | === Albums ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Prince_Myshkin,Myshkin,44,12,0.7421997275546556,0.3473462234560746,0,6,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Aristocrat109807754,http://dbpedia.org/resource/Prince_Myshkin,Myshkin,44,12,0.7421997275546556,0.3473462234560746,0,6,== Discography == | === Albums ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Prince_Myshkin,Myshkin,44,12,0.7421997275546556,0.3473462234560746,0,6,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Prince_Myshkin,Myshkin,44,12,0.7421997275546556,0.3473462234560746,0,6,== Discography == | === Albums ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Prince_Myshkin,Myshkin,44,12,0.7421997275546556,0.3473462234560746,0,6,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Prince_Myshkin,Myshkin,44,12,0.7421997275546556,0.3473462234560746,0,6,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Prince_Myshkin,Myshkin,44,12,0.7421997275546556,0.3473462234560746,0,6,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Prince_Myshkin,Myshkin,44,12,0.7421997275546556,0.3473462234560746,0,6,== Discography == | === Albums ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Prince_Myshkin,Myshkin,44,12,0.7421997275546556,0.3473462234560746,0,6,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Prince110472799,http://dbpedia.org/resource/Prince_Myshkin,Myshkin,44,12,0.7421997275546556,0.3473462234560746,0,6,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Prince_Myshkin,Myshkin,44,12,0.7421997275546556,0.3473462234560746,0,6,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatFictionalPrinces,http://dbpedia.org/resource/Prince_Myshkin,Myshkin,44,12,0.7421997275546556,0.3473462234560746,0,6,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatFictionalRussianPeople,http://dbpedia.org/resource/Prince_Myshkin,Myshkin,44,12,0.7421997275546556,0.3473462234560746,0,6,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatFictionalRussianPeopleInLiterature,http://dbpedia.org/resource/Prince_Myshkin,Myshkin,44,12,0.7421997275546556,0.3473462234560746,0,6,== Discography == | === Albums ===
