types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Liquid-crystal_display,Liquid-crystal display,3305,24,1.0,0.0,2,12,== Career == | ==== Musical Instruments ====
http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Liquid-crystal_display,Liquid-crystal display,3305,24,1.0,0.0,2,12,== Career == | ==== Musical Instruments ====
http://dbpedia.org/class/yago/WikicatLiquidCrystalDisplays,http://dbpedia.org/resource/Liquid-crystal_display,Liquid-crystal display,3305,24,1.0,0.0,2,12,== Career == | ==== Musical Instruments ====
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Liquid-crystal_display,Liquid-crystal display,3305,24,1.0,0.0,2,12,== Career == | ==== Musical Instruments ====
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Liquid-crystal_display,Liquid-crystal display,3305,24,1.0,0.0,2,12,== Career == | ==== Musical Instruments ====
http://dbpedia.org/class/yago/DigitalDisplay103196598,http://dbpedia.org/resource/Liquid-crystal_display,Liquid-crystal display,3305,24,1.0,0.0,2,12,== Career == | ==== Musical Instruments ====
http://dbpedia.org/class/yago/Display103211117,http://dbpedia.org/resource/Liquid-crystal_display,Liquid-crystal display,3305,24,1.0,0.0,2,12,== Career == | ==== Musical Instruments ====
http://dbpedia.org/class/yago/ElectronicDevice103277771,http://dbpedia.org/resource/Liquid-crystal_display,Liquid-crystal display,3305,24,1.0,0.0,2,12,== Career == | ==== Musical Instruments ====
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Liquid-crystal_display,Liquid-crystal display,3305,24,1.0,0.0,2,12,== Career == | ==== Musical Instruments ====
http://dbpedia.org/class/yago/LiquidCrystalDisplay103676759,http://dbpedia.org/resource/Liquid-crystal_display,Liquid-crystal display,3305,24,1.0,0.0,2,12,== Career == | ==== Musical Instruments ====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Liquid-crystal_display,Liquid-crystal display,3305,24,1.0,0.0,2,12,== Career == | ==== Musical Instruments ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Liquid-crystal_display,Liquid-crystal display,3305,24,1.0,0.0,2,12,== Career == | ==== Musical Instruments ====
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Liquid-crystal_display,Liquid-crystal display,3305,24,1.0,0.0,2,12,== Career == | ==== Musical Instruments ====
