types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatBritishMusicalDuos,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatUnreleasedSongs,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatMusicalDuos,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatRockMusicDuos,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Couple113743605,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/DefiniteQuantity113576101,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Digit113741022,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Integer113728499,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Number113582013,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Recording104063661,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/Two113743269,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatEnglishMusicalDuos,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
http://dbpedia.org/class/yago/WikicatTheBeatlesBootlegRecordings,http://dbpedia.org/resource/Lennon–McCartney,John Lennon/Paul McCartney,970,105,1.0,0.0,7,7,== Biography == | === Career ===
