types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatHurlingClubsInCountyLimerick,http://dbpedia.org/resource/Croom_GAA,Croom,87,45,0.999947752523832,3.2491607842451785e-05,0,59,== Bibliography == | === Contributions ===
http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/resource/Croom_GAA,Croom,87,45,0.999947752523832,3.2491607842451785e-05,0,59,== Bibliography == | === Contributions ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Croom_GAA,Croom,87,45,0.999947752523832,3.2491607842451785e-05,0,59,== Bibliography == | === Contributions ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Croom_GAA,Croom,87,45,0.999947752523832,3.2491607842451785e-05,0,59,== Bibliography == | === Contributions ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Croom_GAA,Croom,87,45,0.999947752523832,3.2491607842451785e-05,0,59,== Bibliography == | === Contributions ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Croom_GAA,Croom,87,45,0.999947752523832,3.2491607842451785e-05,0,59,== Bibliography == | === Contributions ===
http://dbpedia.org/class/yago/Association108049401,http://dbpedia.org/resource/Croom_GAA,Croom,87,45,0.999947752523832,3.2491607842451785e-05,0,59,== Bibliography == | === Contributions ===
http://dbpedia.org/class/yago/Club108227214,http://dbpedia.org/resource/Croom_GAA,Croom,87,45,0.999947752523832,3.2491607842451785e-05,0,59,== Bibliography == | === Contributions ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Croom_GAA,Croom,87,45,0.999947752523832,3.2491607842451785e-05,0,59,== Bibliography == | === Contributions ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Croom_GAA,Croom,87,45,0.999947752523832,3.2491607842451785e-05,0,59,== Bibliography == | === Contributions ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Croom_GAA,Croom,87,45,0.999947752523832,3.2491607842451785e-05,0,59,== Bibliography == | === Contributions ===
http://dbpedia.org/class/yago/WikicatGaelicAthleticAssociationClubsInCountyLimerick,http://dbpedia.org/resource/Croom_GAA,Croom,87,45,0.999947752523832,3.2491607842451785e-05,0,59,== Bibliography == | === Contributions ===
http://dbpedia.org/class/yago/WikicatGaelicFootballClubsInCountyLimerick,http://dbpedia.org/resource/Croom_GAA,Croom,87,45,0.999947752523832,3.2491607842451785e-05,0,59,== Bibliography == | === Contributions ===
