types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Simpsons_shorts,Space Patrol,224,23,0.9999997643917872,1.687317748690188e-07,1,17,== Career == | === Voice acting ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/The_Simpsons_shorts,Space Patrol,224,23,0.9999997643917872,1.687317748690188e-07,1,17,== Career == | === Voice acting ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Simpsons_shorts,Space Patrol,224,23,0.9999997643917872,1.687317748690188e-07,1,17,== Career == | === Voice acting ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/The_Simpsons_shorts,Space Patrol,224,23,0.9999997643917872,1.687317748690188e-07,1,17,== Career == | === Voice acting ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/The_Simpsons_shorts,Space Patrol,224,23,0.9999997643917872,1.687317748690188e-07,1,17,== Career == | === Voice acting ===
http://dbpedia.org/class/yago/Episode106396330,http://dbpedia.org/resource/The_Simpsons_shorts,Space Patrol,224,23,0.9999997643917872,1.687317748690188e-07,1,17,== Career == | === Voice acting ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/The_Simpsons_shorts,Space Patrol,224,23,0.9999997643917872,1.687317748690188e-07,1,17,== Career == | === Voice acting ===
http://dbpedia.org/class/yago/WikicatTheSimpsonsEpisodes,http://dbpedia.org/resource/The_Simpsons_shorts,Space Patrol,224,23,0.9999997643917872,1.687317748690188e-07,1,17,== Career == | === Voice acting ===
http://dbpedia.org/class/yago/Section106392001,http://dbpedia.org/resource/The_Simpsons_shorts,Space Patrol,224,23,0.9999997643917872,1.687317748690188e-07,1,17,== Career == | === Voice acting ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/The_Simpsons_shorts,Space Patrol,224,23,0.9999997643917872,1.687317748690188e-07,1,17,== Career == | === Voice acting ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/The_Simpsons_shorts,Space Patrol,224,23,0.9999997643917872,1.687317748690188e-07,1,17,== Career == | === Voice acting ===
