types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Getreidegasse,Getreidegasse,29,129,1.0,0.0,0,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/ontology/Road,http://dbpedia.org/resource/Getreidegasse,Getreidegasse,29,129,1.0,0.0,0,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Getreidegasse,Getreidegasse,29,129,1.0,0.0,0,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Getreidegasse,Getreidegasse,29,129,1.0,0.0,0,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Getreidegasse,Getreidegasse,29,129,1.0,0.0,0,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/WikicatShoppingDistrictsAndStreetsInAustria,http://dbpedia.org/resource/Getreidegasse,Getreidegasse,29,129,1.0,0.0,0,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Getreidegasse,Getreidegasse,29,129,1.0,0.0,0,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/District108552138,http://dbpedia.org/resource/Getreidegasse,Getreidegasse,29,129,1.0,0.0,0,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Getreidegasse,Getreidegasse,29,129,1.0,0.0,0,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Getreidegasse,Getreidegasse,29,129,1.0,0.0,0,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Getreidegasse,Getreidegasse,29,129,1.0,0.0,0,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Getreidegasse,Getreidegasse,29,129,1.0,0.0,0,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/Road104096066,http://dbpedia.org/resource/Getreidegasse,Getreidegasse,29,129,1.0,0.0,0,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/Street104334599,http://dbpedia.org/resource/Getreidegasse,Getreidegasse,29,129,1.0,0.0,0,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/Thoroughfare104426618,http://dbpedia.org/resource/Getreidegasse,Getreidegasse,29,129,1.0,0.0,0,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/Way104564698,http://dbpedia.org/resource/Getreidegasse,Getreidegasse,29,129,1.0,0.0,0,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Getreidegasse,Getreidegasse,29,129,1.0,0.0,0,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/WikicatPedestrianStreetsInAustria,http://dbpedia.org/resource/Getreidegasse,Getreidegasse,29,129,1.0,0.0,0,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/WikicatStreetsInAustria,http://dbpedia.org/resource/Getreidegasse,Getreidegasse,29,129,1.0,0.0,0,5,== Life and career == | ==== Family and childhood ====
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Princes_of_the_Holy_Roman_Empire,principality,604,75,0.7861842990423805,0.271961141167395,1,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/WikicatPrincesOfTheHolyRomanEmpire,http://dbpedia.org/resource/Princes_of_the_Holy_Roman_Empire,principality,604,75,0.7861842990423805,0.271961141167395,1,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Princes_of_the_Holy_Roman_Empire,principality,604,75,0.7861842990423805,0.271961141167395,1,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Princes_of_the_Holy_Roman_Empire,principality,604,75,0.7861842990423805,0.271961141167395,1,5,== Life and career == | ==== Family and childhood ====
http://dbpedia.org/class/yago/Aristocrat109807754,http://dbpedia.org/resource/Princes_of_the_Holy_Roman_Empire,principality,604,75,0.7861842990423805,0.271961141167395,1,5,== Life and career == | ==== Family and childhood ====
