types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatPittsburghPirates,http://dbpedia.org/resource/Green_Weenie,Green Weenie,10,35,0.9999999999922836,0.0,0,8,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Wrongdoer109633969,http://dbpedia.org/resource/Green_Weenie,Green Weenie,10,35,0.9999999999922836,0.0,0,8,== Discography == | === Albums ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Green_Weenie,Green Weenie,10,35,0.9999999999922836,0.0,0,8,== Discography == | === Albums ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Green_Weenie,Green Weenie,10,35,0.9999999999922836,0.0,0,8,== Discography == | === Albums ===
http://dbpedia.org/class/yago/BadPerson109831962,http://dbpedia.org/resource/Green_Weenie,Green Weenie,10,35,0.9999999999922836,0.0,0,8,== Discography == | === Albums ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Green_Weenie,Green Weenie,10,35,0.9999999999922836,0.0,0,8,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Criminal109977660,http://dbpedia.org/resource/Green_Weenie,Green Weenie,10,35,0.9999999999922836,0.0,0,8,== Discography == | === Albums ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Green_Weenie,Green Weenie,10,35,0.9999999999922836,0.0,0,8,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Green_Weenie,Green Weenie,10,35,0.9999999999922836,0.0,0,8,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Green_Weenie,Green Weenie,10,35,0.9999999999922836,0.0,0,8,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Green_Weenie,Green Weenie,10,35,0.9999999999922836,0.0,0,8,== Discography == | === Albums ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Green_Weenie,Green Weenie,10,35,0.9999999999922836,0.0,0,8,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Pirate110435367,http://dbpedia.org/resource/Green_Weenie,Green Weenie,10,35,0.9999999999922836,0.0,0,8,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Plunderer110443170,http://dbpedia.org/resource/Green_Weenie,Green Weenie,10,35,0.9999999999922836,0.0,0,8,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Principal110474950,http://dbpedia.org/resource/Green_Weenie,Green Weenie,10,35,0.9999999999922836,0.0,0,8,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Thief110707804,http://dbpedia.org/resource/Green_Weenie,Green Weenie,10,35,0.9999999999922836,0.0,0,8,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Green_Weenie,Green Weenie,10,35,0.9999999999922836,0.0,0,8,== Discography == | === Albums ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/King_Banana,King Banana,5,33,0.9999999870061772,0.0,0,11,== Discography == | === Albums ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/King_Banana,King Banana,5,33,0.9999999870061772,0.0,0,11,== Discography == | === Albums ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/King_Banana,King Banana,5,33,0.9999999870061772,0.0,0,11,== Discography == | === Albums ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/King_Banana,King Banana,5,33,0.9999999870061772,0.0,0,11,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatMusicalGroupsEstablishedIn1995,http://dbpedia.org/resource/King_Banana,King Banana,5,33,0.9999999870061772,0.0,0,11,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatReggaeMusicalGroups,http://dbpedia.org/resource/King_Banana,King Banana,5,33,0.9999999870061772,0.0,0,11,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/King_Banana,King Banana,5,33,0.9999999870061772,0.0,0,11,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/King_Banana,King Banana,5,33,0.9999999870061772,0.0,0,11,== Discography == | === Albums ===
http://dbpedia.org/class/yago/MusicalOrganization108246613,http://dbpedia.org/resource/King_Banana,King Banana,5,33,0.9999999870061772,0.0,0,11,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/King_Banana,King Banana,5,33,0.9999999870061772,0.0,0,11,== Discography == | === Albums ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/King_Banana,King Banana,5,33,0.9999999870061772,0.0,0,11,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatGermanReggaeMusicalGroups,http://dbpedia.org/resource/King_Banana,King Banana,5,33,0.9999999870061772,0.0,0,11,== Discography == | === Albums ===
