types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Government_Inspector,Revizor,285,4,1.0,3.32410041854344e-23,1,44,== Theatre == | === Actor ===
http://schema.org/CreativeWork,http://dbpedia.org/resource/The_Government_Inspector,Revizor,285,4,1.0,3.32410041854344e-23,1,44,== Theatre == | === Actor ===
http://dbpedia.org/ontology/Work,http://dbpedia.org/resource/The_Government_Inspector,Revizor,285,4,1.0,3.32410041854344e-23,1,44,== Theatre == | === Actor ===
http://www.wikidata.org/entity/Q234460,http://dbpedia.org/resource/The_Government_Inspector,Revizor,285,4,1.0,3.32410041854344e-23,1,44,== Theatre == | === Actor ===
http://www.wikidata.org/entity/Q25379,http://dbpedia.org/resource/The_Government_Inspector,Revizor,285,4,1.0,3.32410041854344e-23,1,44,== Theatre == | === Actor ===
http://www.wikidata.org/entity/Q386724,http://dbpedia.org/resource/The_Government_Inspector,Revizor,285,4,1.0,3.32410041854344e-23,1,44,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/WikicatComedyPlays,http://dbpedia.org/resource/The_Government_Inspector,Revizor,285,4,1.0,3.32410041854344e-23,1,44,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/WikicatRussianPlays,http://dbpedia.org/resource/The_Government_Inspector,Revizor,285,4,1.0,3.32410041854344e-23,1,44,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/WikicatSatiricalPlays,http://dbpedia.org/resource/The_Government_Inspector,Revizor,285,4,1.0,3.32410041854344e-23,1,44,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Government_Inspector,Revizor,285,4,1.0,3.32410041854344e-23,1,44,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/The_Government_Inspector,Revizor,285,4,1.0,3.32410041854344e-23,1,44,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/DramaticComposition107007684,http://dbpedia.org/resource/The_Government_Inspector,Revizor,285,4,1.0,3.32410041854344e-23,1,44,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/Play107007945,http://dbpedia.org/resource/The_Government_Inspector,Revizor,285,4,1.0,3.32410041854344e-23,1,44,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/The_Government_Inspector,Revizor,285,4,1.0,3.32410041854344e-23,1,44,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/The_Government_Inspector,Revizor,285,4,1.0,3.32410041854344e-23,1,44,== Theatre == | === Actor ===
http://dbpedia.org/ontology/Play,http://dbpedia.org/resource/The_Government_Inspector,Revizor,285,4,1.0,3.32410041854344e-23,1,44,== Theatre == | === Actor ===
http://dbpedia.org/ontology/WrittenWork,http://dbpedia.org/resource/The_Government_Inspector,Revizor,285,4,1.0,3.32410041854344e-23,1,44,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/Wikicat1836Plays,http://dbpedia.org/resource/The_Government_Inspector,Revizor,285,4,1.0,3.32410041854344e-23,1,44,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/Wikicat19th-centuryPlays,http://dbpedia.org/resource/The_Government_Inspector,Revizor,285,4,1.0,3.32410041854344e-23,1,44,== Theatre == | === Actor ===
http://dbpedia.org/class/yago/WikicatPlaysByNikolaiGogol,http://dbpedia.org/resource/The_Government_Inspector,Revizor,285,4,1.0,3.32410041854344e-23,1,44,== Theatre == | === Actor ===
