types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Olympic_Hymn,Olympic anthem,135,32,0.9999999999998864,0.0,15,6,== Career == | === 1980s ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/Olympic_Hymn,Olympic anthem,135,32,0.9999999999998864,0.0,15,6,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Olympic_Hymn,Olympic anthem,135,32,0.9999999999998864,0.0,15,6,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Olympic_Hymn,Olympic anthem,135,32,0.9999999999998864,0.0,15,6,== Career == | === 1980s ===
http://dbpedia.org/class/yago/ReligiousMusic107033007,http://dbpedia.org/resource/Olympic_Hymn,Olympic anthem,135,32,0.9999999999998864,0.0,15,6,== Career == | === 1980s ===
http://dbpedia.org/class/yago/ReligiousSong107035420,http://dbpedia.org/resource/Olympic_Hymn,Olympic anthem,135,32,0.9999999999998864,0.0,15,6,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/Olympic_Hymn,Olympic anthem,135,32,0.9999999999998864,0.0,15,6,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Signature107029088,http://dbpedia.org/resource/Olympic_Hymn,Olympic anthem,135,32,0.9999999999998864,0.0,15,6,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/Olympic_Hymn,Olympic anthem,135,32,0.9999999999998864,0.0,15,6,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/Olympic_Hymn,Olympic anthem,135,32,0.9999999999998864,0.0,15,6,== Career == | === 1980s ===
http://dbpedia.org/class/yago/Tune107028373,http://dbpedia.org/resource/Olympic_Hymn,Olympic anthem,135,32,0.9999999999998864,0.0,15,6,== Career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatOlympicSymbols,http://dbpedia.org/resource/Olympic_Hymn,Olympic anthem,135,32,0.9999999999998864,0.0,15,6,== Career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatOlympicThemeSongs,http://dbpedia.org/resource/Olympic_Hymn,Olympic anthem,135,32,0.9999999999998864,0.0,15,6,== Career == | === 1980s ===
http://dbpedia.org/class/yago/WikicatSportingSongs,http://dbpedia.org/resource/Olympic_Hymn,Olympic anthem,135,32,0.9999999999998864,0.0,15,6,== Career == | === 1980s ===
