types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Die_Frau_ohne_Schatten,Die Frau Ohne Schatten,317,197,1.0,2.0730696189450404e-50,0,5,== Education and work == | === Conduction work ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Die_Frau_ohne_Schatten,Die Frau Ohne Schatten,317,197,1.0,2.0730696189450404e-50,0,5,== Education and work == | === Conduction work ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Die_Frau_ohne_Schatten,Die Frau Ohne Schatten,317,197,1.0,2.0730696189450404e-50,0,5,== Education and work == | === Conduction work ===
http://dbpedia.org/class/yago/ClassicalMusic107025900,http://dbpedia.org/resource/Die_Frau_ohne_Schatten,Die Frau Ohne Schatten,317,197,1.0,2.0730696189450404e-50,0,5,== Education and work == | === Conduction work ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Die_Frau_ohne_Schatten,Die Frau Ohne Schatten,317,197,1.0,2.0730696189450404e-50,0,5,== Education and work == | === Conduction work ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Die_Frau_ohne_Schatten,Die Frau Ohne Schatten,317,197,1.0,2.0730696189450404e-50,0,5,== Education and work == | === Conduction work ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Die_Frau_ohne_Schatten,Die Frau Ohne Schatten,317,197,1.0,2.0730696189450404e-50,0,5,== Education and work == | === Conduction work ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Die_Frau_ohne_Schatten,Die Frau Ohne Schatten,317,197,1.0,2.0730696189450404e-50,0,5,== Education and work == | === Conduction work ===
http://dbpedia.org/class/yago/Opera107026352,http://dbpedia.org/resource/Die_Frau_ohne_Schatten,Die Frau Ohne Schatten,317,197,1.0,2.0730696189450404e-50,0,5,== Education and work == | === Conduction work ===
http://dbpedia.org/class/yago/Wikicat1919Operas,http://dbpedia.org/resource/Die_Frau_ohne_Schatten,Die Frau Ohne Schatten,317,197,1.0,2.0730696189450404e-50,0,5,== Education and work == | === Conduction work ===
http://dbpedia.org/class/yago/Wikicat20th-centuryOperas,http://dbpedia.org/resource/Die_Frau_ohne_Schatten,Die Frau Ohne Schatten,317,197,1.0,2.0730696189450404e-50,0,5,== Education and work == | === Conduction work ===
http://dbpedia.org/class/yago/WikicatGerman-languageOperas,http://dbpedia.org/resource/Die_Frau_ohne_Schatten,Die Frau Ohne Schatten,317,197,1.0,2.0730696189450404e-50,0,5,== Education and work == | === Conduction work ===
http://dbpedia.org/class/yago/WikicatOperas,http://dbpedia.org/resource/Die_Frau_ohne_Schatten,Die Frau Ohne Schatten,317,197,1.0,2.0730696189450404e-50,0,5,== Education and work == | === Conduction work ===
http://dbpedia.org/class/yago/WikicatOperasByRichardStrauss,http://dbpedia.org/resource/Die_Frau_ohne_Schatten,Die Frau Ohne Schatten,317,197,1.0,2.0730696189450404e-50,0,5,== Education and work == | === Conduction work ===
