types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Protein114728724,http://dbpedia.org/resource/CPEB,CPEB,16,90,0.9999997770994148,0.0,0,128,== Works == | === Keyboard works ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/CPEB,CPEB,16,90,0.9999997770994148,0.0,0,128,== Works == | === Keyboard works ===
http://dbpedia.org/class/yago/Substance100019613,http://dbpedia.org/resource/CPEB,CPEB,16,90,0.9999997770994148,0.0,0,128,== Works == | === Keyboard works ===
http://dbpedia.org/class/yago/Thing100002452,http://dbpedia.org/resource/CPEB,CPEB,16,90,0.9999997770994148,0.0,0,128,== Works == | === Keyboard works ===
http://dbpedia.org/class/yago/Unit109465459,http://dbpedia.org/resource/CPEB,CPEB,16,90,0.9999997770994148,0.0,0,128,== Works == | === Keyboard works ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Backhoe,JCB,273,49,0.9816172568734686,0.0168440609184628,1,212,== Works == | === Orchestral works ===
http://dbpedia.org/ontology/MusicalWork,http://dbpedia.org/resource/Backhoe,JCB,273,49,0.9816172568734686,0.0168440609184628,1,212,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Backhoe,JCB,273,49,0.9816172568734686,0.0168440609184628,1,212,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Backhoe,JCB,273,49,0.9816172568734686,0.0168440609184628,1,212,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Backhoe,JCB,273,49,0.9816172568734686,0.0168440609184628,1,212,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Euphemism106605046,http://dbpedia.org/resource/Backhoe,JCB,273,49,0.9816172568734686,0.0168440609184628,1,212,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Saying107151380,http://dbpedia.org/resource/Backhoe,JCB,273,49,0.9816172568734686,0.0168440609184628,1,212,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/Speech107109196,http://dbpedia.org/resource/Backhoe,JCB,273,49,0.9816172568734686,0.0168440609184628,1,212,== Works == | === Orchestral works ===
http://dbpedia.org/class/yago/WikicatEuphemisms,http://dbpedia.org/resource/Backhoe,JCB,273,49,0.9816172568734686,0.0168440609184628,1,212,== Works == | === Orchestral works ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Die_Auferstehung_und_Himmelfahrt_Jesu,Die Auferstehung und Himmelfahrt Jesu,3,32,1.0,0.0,0,237,== Works == | === Vocal works ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/MOSIS,Mosis,35,15,0.9999999999994884,0.0,0,245,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/WikicatIntegratedCircuits,http://dbpedia.org/resource/MOSIS,Mosis,35,15,0.9999999999994884,0.0,0,245,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/MOSIS,Mosis,35,15,0.9999999999994884,0.0,0,245,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Circuit103033362,http://dbpedia.org/resource/MOSIS,Mosis,35,15,0.9999999999994884,0.0,0,245,== Works == | === Vocal works ===
