types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatCivilConflictsInEngland,http://dbpedia.org/resource/Captain_Swing,Captain Swing,54,33,0.999999075847854,9.240939318063734e-07,3,6,== Career == | === Mercury trilogy ===
http://dbpedia.org/class/yago/WikicatCollectivePseudonyms,http://dbpedia.org/resource/Captain_Swing,Captain Swing,54,33,0.999999075847854,9.240939318063734e-07,3,6,== Career == | === Mercury trilogy ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Captain_Swing,Captain Swing,54,33,0.999999075847854,9.240939318063734e-07,3,6,== Career == | === Mercury trilogy ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Captain_Swing,Captain Swing,54,33,0.999999075847854,9.240939318063734e-07,3,6,== Career == | === Mercury trilogy ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Captain_Swing,Captain Swing,54,33,0.999999075847854,9.240939318063734e-07,3,6,== Career == | === Mercury trilogy ===
http://dbpedia.org/class/yago/Conflict100958896,http://dbpedia.org/resource/Captain_Swing,Captain Swing,54,33,0.999999075847854,9.240939318063734e-07,3,6,== Career == | === Mercury trilogy ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Captain_Swing,Captain Swing,54,33,0.999999075847854,9.240939318063734e-07,3,6,== Career == | === Mercury trilogy ===
http://dbpedia.org/class/yago/GroupAction101080366,http://dbpedia.org/resource/Captain_Swing,Captain Swing,54,33,0.999999075847854,9.240939318063734e-07,3,6,== Career == | === Mercury trilogy ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Captain_Swing,Captain Swing,54,33,0.999999075847854,9.240939318063734e-07,3,6,== Career == | === Mercury trilogy ===
http://dbpedia.org/class/yago/Name106333653,http://dbpedia.org/resource/Captain_Swing,Captain Swing,54,33,0.999999075847854,9.240939318063734e-07,3,6,== Career == | === Mercury trilogy ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Captain_Swing,Captain Swing,54,33,0.999999075847854,9.240939318063734e-07,3,6,== Career == | === Mercury trilogy ===
http://dbpedia.org/class/yago/Pseudonym106338278,http://dbpedia.org/resource/Captain_Swing,Captain Swing,54,33,0.999999075847854,9.240939318063734e-07,3,6,== Career == | === Mercury trilogy ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Captain_Swing,Captain Swing,54,33,0.999999075847854,9.240939318063734e-07,3,6,== Career == | === Mercury trilogy ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Captain_Swing,Captain Swing,54,33,0.999999075847854,9.240939318063734e-07,3,6,== Career == | === Mercury trilogy ===
http://dbpedia.org/ontology/MilitaryConflict,http://dbpedia.org/resource/Mexican_standoff,Mexican Standoff,109,87,0.999999999999318,0.0,1,11,== Career == | === Post-Mercury years ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Mexican_standoff,Mexican Standoff,109,87,0.999999999999318,0.0,1,11,== Career == | === Post-Mercury years ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Mexican_standoff,Mexican Standoff,109,87,0.999999999999318,0.0,1,11,== Career == | === Post-Mercury years ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Mexican_standoff,Mexican Standoff,109,87,0.999999999999318,0.0,1,11,== Career == | === Post-Mercury years ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Mexican_standoff,Mexican Standoff,109,87,0.999999999999318,0.0,1,11,== Career == | === Post-Mercury years ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Mexican_standoff,Mexican Standoff,109,87,0.999999999999318,0.0,1,11,== Career == | === Post-Mercury years ===
