types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAircraftWeightMeasurements,http://dbpedia.org/resource/Operating_empty_weight,BOW,28,5,0.9989589245399086,0.0,0,56,== Discography == | === Singles ===
http://dbpedia.org/ontology/HorseRace,http://dbpedia.org/resource/Operating_empty_weight,BOW,28,5,0.9989589245399086,0.0,0,56,== Discography == | === Singles ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Operating_empty_weight,BOW,28,5,0.9989589245399086,0.0,0,56,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Operating_empty_weight,BOW,28,5,0.9989589245399086,0.0,0,56,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Operating_empty_weight,BOW,28,5,0.9989589245399086,0.0,0,56,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Operating_empty_weight,BOW,28,5,0.9989589245399086,0.0,0,56,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Operating_empty_weight,BOW,28,5,0.9989589245399086,0.0,0,56,== Discography == | === Singles ===
http://dbpedia.org/class/yago/Measurement100996969,http://dbpedia.org/resource/Operating_empty_weight,BOW,28,5,0.9989589245399086,0.0,0,56,== Discography == | === Singles ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Operating_empty_weight,BOW,28,5,0.9989589245399086,0.0,0,56,== Discography == | === Singles ===
http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/resource/Destination_X,Destination X,146,5,0.9985703486112002,0.0002916916685947937,0,79,== Discography == | === Remixes ===
http://dbpedia.org/ontology/WrestlingEvent,http://dbpedia.org/resource/Destination_X,Destination X,146,5,0.9985703486112002,0.0002916916685947937,0,79,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Destination_X,Destination X,146,5,0.9985703486112002,0.0002916916685947937,0,79,== Discography == | === Remixes ===
http://umbel.org/umbel/rc/Event,http://dbpedia.org/resource/Destination_X,Destination X,146,5,0.9985703486112002,0.0002916916685947937,0,79,== Discography == | === Remixes ===
