types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Work100575741,http://dbpedia.org/resource/Speaking_clock,BT Speaking Clock,91,145,1.0,0.0,5,21,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Speaking_clock,BT Speaking Clock,91,145,1.0,0.0,5,21,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Speaking_clock,BT Speaking Clock,91,145,1.0,0.0,5,21,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Speaking_clock,BT Speaking Clock,91,145,1.0,0.0,5,21,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Speaking_clock,BT Speaking Clock,91,145,1.0,0.0,5,21,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Speaking_clock,BT Speaking Clock,91,145,1.0,0.0,5,21,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Speaking_clock,BT Speaking Clock,91,145,1.0,0.0,5,21,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/PhoneNumber106426111,http://dbpedia.org/resource/Speaking_clock,BT Speaking Clock,91,145,1.0,0.0,5,21,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Speaking_clock,BT Speaking Clock,91,145,1.0,0.0,5,21,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Service100577525,http://dbpedia.org/resource/Speaking_clock,BT Speaking Clock,91,145,1.0,0.0,5,21,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/Speaking_clock,BT Speaking Clock,91,145,1.0,0.0,5,21,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/TimeSignal106793091,http://dbpedia.org/resource/Speaking_clock,BT Speaking Clock,91,145,1.0,0.0,5,21,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/WikicatTelecommunicationServices,http://dbpedia.org/resource/Speaking_clock,BT Speaking Clock,91,145,1.0,0.0,5,21,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/WikicatTelephoneNumbers,http://dbpedia.org/resource/Speaking_clock,BT Speaking Clock,91,145,1.0,0.0,5,21,== Other ventures == | === Philanthropy ===
http://dbpedia.org/class/yago/WikicatTimeSignals,http://dbpedia.org/resource/Speaking_clock,BT Speaking Clock,91,145,1.0,0.0,5,21,== Other ventures == | === Philanthropy ===
