types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Red-tailed_hawk,red-tailed hawk,773,49,1.0,0.0,6,16,== Career == | === 2000–present ===
http://dbpedia.org/ontology/Insect,http://dbpedia.org/resource/Red-tailed_hawk,red-tailed hawk,773,49,1.0,0.0,6,16,== Career == | === 2000–present ===
http://dbpedia.org/ontology/Bird,http://dbpedia.org/resource/Red-tailed_hawk,red-tailed hawk,773,49,1.0,0.0,6,16,== Career == | === 2000–present ===
