types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Pacifist110390199,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/Philosopher110423589,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/President110467179,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/Professional110480253,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/Reformer110515194,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/ReligiousLeader110519494,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/ReligiousPerson109628382,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/Representative110522035,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/Teacher110694258,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Daisaku_Ikeda,Daisaku Ikeda,242,96,1.0,0.0,2,52,== Personal life == | === Nichiren Buddhism ===
