types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAncientLanguages,http://dbpedia.org/resource/Maranatha,maranatha,87,0,0.9999999767193376,0.0,0,15,== Selected compositions == | === Choral Music ===
http://dbpedia.org/class/yago/WikicatAramaicLanguages,http://dbpedia.org/resource/Maranatha,maranatha,87,0,0.9999999767193376,0.0,0,15,== Selected compositions == | === Choral Music ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Maranatha,maranatha,87,0,0.9999999767193376,0.0,0,15,== Selected compositions == | === Choral Music ===
http://dbpedia.org/ontology/RecordLabel,http://dbpedia.org/resource/Maranatha,maranatha,87,0,0.9999999767193376,0.0,0,15,== Selected compositions == | === Choral Music ===
http://dbpedia.org/class/yago/Worship101028655,http://dbpedia.org/resource/Maranatha,maranatha,87,0,0.9999999767193376,0.0,0,15,== Selected compositions == | === Choral Music ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Maranatha,maranatha,87,0,0.9999999767193376,0.0,0,15,== Selected compositions == | === Choral Music ===
http://dbpedia.org/class/yago/WikicatRomanCatholicPrayers,http://dbpedia.org/resource/Maranatha,maranatha,87,0,0.9999999767193376,0.0,0,15,== Selected compositions == | === Choral Music ===
http://dbpedia.org/class/yago/WikicatSemiticLanguages,http://dbpedia.org/resource/Maranatha,maranatha,87,0,0.9999999767193376,0.0,0,15,== Selected compositions == | === Choral Music ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Maranatha,maranatha,87,0,0.9999999767193376,0.0,0,15,== Selected compositions == | === Choral Music ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Maranatha,maranatha,87,0,0.9999999767193376,0.0,0,15,== Selected compositions == | === Choral Music ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Maranatha,maranatha,87,0,0.9999999767193376,0.0,0,15,== Selected compositions == | === Choral Music ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Maranatha,maranatha,87,0,0.9999999767193376,0.0,0,15,== Selected compositions == | === Choral Music ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Maranatha,maranatha,87,0,0.9999999767193376,0.0,0,15,== Selected compositions == | === Choral Music ===
http://dbpedia.org/class/yago/Language106282651,http://dbpedia.org/resource/Maranatha,maranatha,87,0,0.9999999767193376,0.0,0,15,== Selected compositions == | === Choral Music ===
http://dbpedia.org/class/yago/Prayer101041968,http://dbpedia.org/resource/Maranatha,maranatha,87,0,0.9999999767193376,0.0,0,15,== Selected compositions == | === Choral Music ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Maranatha,maranatha,87,0,0.9999999767193376,0.0,0,15,== Selected compositions == | === Choral Music ===
