types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/resource/WrestleReunion,Wrestlereunion,70,29,0.9999999993775076,0.0,11,18,== Professional wrestling career == | === Independent circuit; Wrestlicious (2002–present) ===
http://dbpedia.org/class/yago/WikicatMultigenreConventions,http://dbpedia.org/resource/WrestleReunion,Wrestlereunion,70,29,0.9999999993775076,0.0,11,18,== Professional wrestling career == | === Independent circuit; Wrestlicious (2002–present) ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/WrestleReunion,Wrestlereunion,70,29,0.9999999993775076,0.0,11,18,== Professional wrestling career == | === Independent circuit; Wrestlicious (2002–present) ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/WrestleReunion,Wrestlereunion,70,29,0.9999999993775076,0.0,11,18,== Professional wrestling career == | === Independent circuit; Wrestlicious (2002–present) ===
http://dbpedia.org/class/yago/Convention108309086,http://dbpedia.org/resource/WrestleReunion,Wrestlereunion,70,29,0.9999999993775076,0.0,11,18,== Professional wrestling career == | === Independent circuit; Wrestlicious (2002–present) ===
http://dbpedia.org/class/yago/Gathering107975026,http://dbpedia.org/resource/WrestleReunion,Wrestlereunion,70,29,0.9999999993775076,0.0,11,18,== Professional wrestling career == | === Independent circuit; Wrestlicious (2002–present) ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/WrestleReunion,Wrestlereunion,70,29,0.9999999993775076,0.0,11,18,== Professional wrestling career == | === Independent circuit; Wrestlicious (2002–present) ===
http://dbpedia.org/class/yago/Meeting108307589,http://dbpedia.org/resource/WrestleReunion,Wrestlereunion,70,29,0.9999999993775076,0.0,11,18,== Professional wrestling career == | === Independent circuit; Wrestlicious (2002–present) ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/WrestleReunion,Wrestlereunion,70,29,0.9999999993775076,0.0,11,18,== Professional wrestling career == | === Independent circuit; Wrestlicious (2002–present) ===
http://dbpedia.org/class/yago/Promotion107247071,http://dbpedia.org/resource/WrestleReunion,Wrestlereunion,70,29,0.9999999993775076,0.0,11,18,== Professional wrestling career == | === Independent circuit; Wrestlicious (2002–present) ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/WrestleReunion,Wrestlereunion,70,29,0.9999999993775076,0.0,11,18,== Professional wrestling career == | === Independent circuit; Wrestlicious (2002–present) ===
http://dbpedia.org/class/yago/WikicatFanConventions,http://dbpedia.org/resource/WrestleReunion,Wrestlereunion,70,29,0.9999999993775076,0.0,11,18,== Professional wrestling career == | === Independent circuit; Wrestlicious (2002–present) ===
