types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Sound_editor_(filmmaking),Sound editing,409,0,0.9999993761506076,0.0,1,19,== Selected filmography == | === Sound editing ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Sound_editor_(filmmaking),Sound editing,409,0,0.9999993761506076,0.0,1,19,== Selected filmography == | === Sound editing ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Sound_editor_(filmmaking),Sound editing,409,0,0.9999993761506076,0.0,1,19,== Selected filmography == | === Sound editing ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Sound_editor_(filmmaking),Sound editing,409,0,0.9999993761506076,0.0,1,19,== Selected filmography == | === Sound editing ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Sound_editor_(filmmaking),Sound editing,409,0,0.9999993761506076,0.0,1,19,== Selected filmography == | === Sound editing ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Sound_editor_(filmmaking),Sound editing,409,0,0.9999993761506076,0.0,1,19,== Selected filmography == | === Sound editing ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Sound_editor_(filmmaking),Sound editing,409,0,0.9999993761506076,0.0,1,19,== Selected filmography == | === Sound editing ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Sound_editor_(filmmaking),Sound editing,409,0,0.9999993761506076,0.0,1,19,== Selected filmography == | === Sound editing ===
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Sound_editor_(filmmaking),Sound editing,409,0,0.9999993761506076,0.0,1,19,== Selected filmography == | === Sound editing ===
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Sound_editor_(filmmaking),Sound editing,409,0,0.9999993761506076,0.0,1,19,== Selected filmography == | === Sound editing ===
http://dbpedia.org/class/yago/Occupation100582388,http://dbpedia.org/resource/Sound_editor_(filmmaking),Sound editing,409,0,0.9999993761506076,0.0,1,19,== Selected filmography == | === Sound editing ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Sound_editor_(filmmaking),Sound editing,409,0,0.9999993761506076,0.0,1,19,== Selected filmography == | === Sound editing ===
http://dbpedia.org/class/yago/Technique105665146,http://dbpedia.org/resource/Sound_editor_(filmmaking),Sound editing,409,0,0.9999993761506076,0.0,1,19,== Selected filmography == | === Sound editing ===
http://dbpedia.org/class/yago/WikicatFilmTechniques,http://dbpedia.org/resource/Sound_editor_(filmmaking),Sound editing,409,0,0.9999993761506076,0.0,1,19,== Selected filmography == | === Sound editing ===
http://dbpedia.org/class/yago/WikicatOccupations,http://dbpedia.org/resource/Sound_editor_(filmmaking),Sound editing,409,0,0.9999993761506076,0.0,1,19,== Selected filmography == | === Sound editing ===
http://dbpedia.org/class/yago/WikicatOccupationsInMusic,http://dbpedia.org/resource/Sound_editor_(filmmaking),Sound editing,409,0,0.9999993761506076,0.0,1,19,== Selected filmography == | === Sound editing ===
