types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Puerto_Rican_literature,Puerto Rican literature,181,49,1.0,0.0,3,11,== Career == | === Musical works ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Puerto_Rican_literature,Puerto Rican literature,181,49,1.0,0.0,3,11,== Career == | === Musical works ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Puerto_Rican_literature,Puerto Rican literature,181,49,1.0,0.0,3,11,== Career == | === Musical works ===
http://dbpedia.org/class/yago/WikicatPuertoRicanWriters,http://dbpedia.org/resource/Puerto_Rican_literature,Puerto Rican literature,181,49,1.0,0.0,3,11,== Career == | === Musical works ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Puerto_Rican_literature,Puerto Rican literature,181,49,1.0,0.0,3,11,== Career == | === Musical works ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Puerto_Rican_literature,Puerto Rican literature,181,49,1.0,0.0,3,11,== Career == | === Musical works ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Puerto_Rican_literature,Puerto Rican literature,181,49,1.0,0.0,3,11,== Career == | === Musical works ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Puerto_Rican_literature,Puerto Rican literature,181,49,1.0,0.0,3,11,== Career == | === Musical works ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Puerto_Rican_literature,Puerto Rican literature,181,49,1.0,0.0,3,11,== Career == | === Musical works ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Puerto_Rican_literature,Puerto Rican literature,181,49,1.0,0.0,3,11,== Career == | === Musical works ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Puerto_Rican_literature,Puerto Rican literature,181,49,1.0,0.0,3,11,== Career == | === Musical works ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Puerto_Rican_literature,Puerto Rican literature,181,49,1.0,0.0,3,11,== Career == | === Musical works ===
