types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatJapaneseClans,http://dbpedia.org/resource/Nakatomi_clan,Nakatomi,80,26,0.9999953603048994,4.389126693009101e-06,0,24,== Filmography == | === Television animation ===
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Nakatomi_clan,Nakatomi,80,26,0.9999953603048994,4.389126693009101e-06,0,24,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Nakatomi_clan,Nakatomi,80,26,0.9999953603048994,4.389126693009101e-06,0,24,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Nakatomi_clan,Nakatomi,80,26,0.9999953603048994,4.389126693009101e-06,0,24,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/Kin107969695,http://dbpedia.org/resource/Nakatomi_clan,Nakatomi,80,26,0.9999953603048994,4.389126693009101e-06,0,24,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Nakatomi_clan,Nakatomi,80,26,0.9999953603048994,4.389126693009101e-06,0,24,== Filmography == | === Television animation ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Mega_Man_Legends,Rockman DASH,84,0,1.0,0.0,0,79,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Mega_Man_Legends,Rockman DASH,84,0,1.0,0.0,0,79,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Mega_Man_Legends,Rockman DASH,84,0,1.0,0.0,0,79,== Filmography == | === Video games ===
http://umbel.org/umbel/rc/ComputerGameProgram,http://dbpedia.org/resource/Mega_Man_Legends,Rockman DASH,84,0,1.0,0.0,0,79,== Filmography == | === Video games ===
http://umbel.org/umbel/rc/SoftwareObject,http://dbpedia.org/resource/Mega_Man_Legends,Rockman DASH,84,0,1.0,0.0,0,79,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/WikicatMegaManLegends,http://dbpedia.org/resource/Mega_Man_Legends,Rockman DASH,84,0,1.0,0.0,0,79,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Mega_Man_Legends,Rockman DASH,84,0,1.0,0.0,0,79,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Mega_Man_Legends,Rockman DASH,84,0,1.0,0.0,0,79,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Fiction106367107,http://dbpedia.org/resource/Mega_Man_Legends,Rockman DASH,84,0,1.0,0.0,0,79,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Legend106371413,http://dbpedia.org/resource/Mega_Man_Legends,Rockman DASH,84,0,1.0,0.0,0,79,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/LiteraryComposition106364329,http://dbpedia.org/resource/Mega_Man_Legends,Rockman DASH,84,0,1.0,0.0,0,79,== Filmography == | === Video games ===
http://dbpedia.org/class/yago/Story106369829,http://dbpedia.org/resource/Mega_Man_Legends,Rockman DASH,84,0,1.0,0.0,0,79,== Filmography == | === Video games ===
