types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Future_Science_Fiction_and_Science_Fiction_Stories,Future science fiction,271,58,1.0,0.0,0,45,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/Magazine106595351,http://dbpedia.org/resource/Future_Science_Fiction_and_Science_Fiction_Stories,Future science fiction,271,58,1.0,0.0,0,45,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Future_Science_Fiction_and_Science_Fiction_Stories,Future science fiction,271,58,1.0,0.0,0,45,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Future_Science_Fiction_and_Science_Fiction_Stories,Future science fiction,271,58,1.0,0.0,0,45,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Future_Science_Fiction_and_Science_Fiction_Stories,Future science fiction,271,58,1.0,0.0,0,45,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Future_Science_Fiction_and_Science_Fiction_Stories,Future science fiction,271,58,1.0,0.0,0,45,== Bibliography == | === Short stories ===
http://dbpedia.org/ontology/Magazine,http://dbpedia.org/resource/Future_Science_Fiction_and_Science_Fiction_Stories,Future science fiction,271,58,1.0,0.0,0,45,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Future_Science_Fiction_and_Science_Fiction_Stories,Future science fiction,271,58,1.0,0.0,0,45,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Future_Science_Fiction_and_Science_Fiction_Stories,Future science fiction,271,58,1.0,0.0,0,45,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/Press106263369,http://dbpedia.org/resource/Future_Science_Fiction_and_Science_Fiction_Stories,Future science fiction,271,58,1.0,0.0,0,45,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/PrintMedia106263609,http://dbpedia.org/resource/Future_Science_Fiction_and_Science_Fiction_Stories,Future science fiction,271,58,1.0,0.0,0,45,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/Future_Science_Fiction_and_Science_Fiction_Stories,Future science fiction,271,58,1.0,0.0,0,45,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/Publication106589574,http://dbpedia.org/resource/Future_Science_Fiction_and_Science_Fiction_Stories,Future science fiction,271,58,1.0,0.0,0,45,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/Pulp106596607,http://dbpedia.org/resource/Future_Science_Fiction_and_Science_Fiction_Stories,Future science fiction,271,58,1.0,0.0,0,45,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/WikicatDefunctScienceFictionMagazinesOfTheUnitedStates,http://dbpedia.org/resource/Future_Science_Fiction_and_Science_Fiction_Stories,Future science fiction,271,58,1.0,0.0,0,45,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/WikicatScienceFictionMagazinesEstablishedInThe1930s,http://dbpedia.org/resource/Future_Science_Fiction_and_Science_Fiction_Stories,Future science fiction,271,58,1.0,0.0,0,45,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/WikicatPublicationsDisestablishedIn1960,http://dbpedia.org/resource/Future_Science_Fiction_and_Science_Fiction_Stories,Future science fiction,271,58,1.0,0.0,0,45,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/WikicatPublicationsEstablishedIn1939,http://dbpedia.org/resource/Future_Science_Fiction_and_Science_Fiction_Stories,Future science fiction,271,58,1.0,0.0,0,45,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/WikicatPulpMagazines,http://dbpedia.org/resource/Future_Science_Fiction_and_Science_Fiction_Stories,Future science fiction,271,58,1.0,0.0,0,45,== Bibliography == | === Short stories ===
http://dbpedia.org/class/yago/Work104599396,http://dbpedia.org/resource/Future_Science_Fiction_and_Science_Fiction_Stories,Future science fiction,271,58,1.0,0.0,0,45,== Bibliography == | === Short stories ===
