types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Seven_dirty_words,Seven Words You Can't Say On Television,128,187,1.0,0.0,0,8,== Career == | === Albums ===
http://dbpedia.org/class/yago/WikicatMonologues,http://dbpedia.org/resource/Seven_dirty_words,Seven Words You Can't Say On Television,128,187,1.0,0.0,0,8,== Career == | === Albums ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Seven_dirty_words,Seven Words You Can't Say On Television,128,187,1.0,0.0,0,8,== Career == | === Albums ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Seven_dirty_words,Seven Words You Can't Say On Television,128,187,1.0,0.0,0,8,== Career == | === Albums ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Seven_dirty_words,Seven Words You Can't Say On Television,128,187,1.0,0.0,0,8,== Career == | === Albums ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Seven_dirty_words,Seven Words You Can't Say On Television,128,187,1.0,0.0,0,8,== Career == | === Albums ===
http://dbpedia.org/class/yago/Controversy107183151,http://dbpedia.org/resource/Seven_dirty_words,Seven Words You Can't Say On Television,128,187,1.0,0.0,0,8,== Career == | === Albums ===
http://dbpedia.org/class/yago/Disagreement107180787,http://dbpedia.org/resource/Seven_dirty_words,Seven Words You Can't Say On Television,128,187,1.0,0.0,0,8,== Career == | === Albums ===
http://dbpedia.org/class/yago/Dispute107181935,http://dbpedia.org/resource/Seven_dirty_words,Seven Words You Can't Say On Television,128,187,1.0,0.0,0,8,== Career == | === Albums ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Seven_dirty_words,Seven Words You Can't Say On Television,128,187,1.0,0.0,0,8,== Career == | === Albums ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Seven_dirty_words,Seven Words You Can't Say On Television,128,187,1.0,0.0,0,8,== Career == | === Albums ===
http://dbpedia.org/class/yago/Soliloquy107160752,http://dbpedia.org/resource/Seven_dirty_words,Seven Words You Can't Say On Television,128,187,1.0,0.0,0,8,== Career == | === Albums ===
http://dbpedia.org/class/yago/Speech107109196,http://dbpedia.org/resource/Seven_dirty_words,Seven Words You Can't Say On Television,128,187,1.0,0.0,0,8,== Career == | === Albums ===
http://dbpedia.org/class/yago/SpeechAct107160883,http://dbpedia.org/resource/Seven_dirty_words,Seven Words You Can't Say On Television,128,187,1.0,0.0,0,8,== Career == | === Albums ===
http://dbpedia.org/class/yago/WikicatObscenityControversies,http://dbpedia.org/resource/Seven_dirty_words,Seven Words You Can't Say On Television,128,187,1.0,0.0,0,8,== Career == | === Albums ===
