types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/14_regions_of_Augustan_Rome,Regio,54,142,0.9902148212777552,0.006702086125346,0,16,== Career as opera singer == | === 1995–2000 ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/14_regions_of_Augustan_Rome,Regio,54,142,0.9902148212777552,0.006702086125346,0,16,== Career as opera singer == | === 1995–2000 ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/14_regions_of_Augustan_Rome,Regio,54,142,0.9902148212777552,0.006702086125346,0,16,== Career as opera singer == | === 1995–2000 ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/14_regions_of_Augustan_Rome,Regio,54,142,0.9902148212777552,0.006702086125346,0,16,== Career as opera singer == | === 1995–2000 ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/14_regions_of_Augustan_Rome,Regio,54,142,0.9902148212777552,0.006702086125346,0,16,== Career as opera singer == | === 1995–2000 ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/14_regions_of_Augustan_Rome,Regio,54,142,0.9902148212777552,0.006702086125346,0,16,== Career as opera singer == | === 1995–2000 ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/14_regions_of_Augustan_Rome,Regio,54,142,0.9902148212777552,0.006702086125346,0,16,== Career as opera singer == | === 1995–2000 ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/14_regions_of_Augustan_Rome,Regio,54,142,0.9902148212777552,0.006702086125346,0,16,== Career as opera singer == | === 1995–2000 ===
http://dbpedia.org/class/yago/Subdivision108674251,http://dbpedia.org/resource/14_regions_of_Augustan_Rome,Regio,54,142,0.9902148212777552,0.006702086125346,0,16,== Career as opera singer == | === 1995–2000 ===
http://dbpedia.org/class/yago/Tract108673395,http://dbpedia.org/resource/14_regions_of_Augustan_Rome,Regio,54,142,0.9902148212777552,0.006702086125346,0,16,== Career as opera singer == | === 1995–2000 ===
http://dbpedia.org/class/yago/WikicatSubdivisionsOfRome,http://dbpedia.org/resource/14_regions_of_Augustan_Rome,Regio,54,142,0.9902148212777552,0.006702086125346,0,16,== Career as opera singer == | === 1995–2000 ===
