types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Plastic_explosive,Plastique,215,10,0.9956596394729889,0.00434074100006,0,10,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Chemical114806838,http://dbpedia.org/resource/Plastic_explosive,Plastique,215,10,0.9956596394729889,0.00434074100006,0,10,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Explosive103304730,http://dbpedia.org/resource/Plastic_explosive,Plastique,215,10,0.9956596394729889,0.00434074100006,0,10,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Material114580897,http://dbpedia.org/resource/Plastic_explosive,Plastique,215,10,0.9956596394729889,0.00434074100006,0,10,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Matter100020827,http://dbpedia.org/resource/Plastic_explosive,Plastique,215,10,0.9956596394729889,0.00434074100006,0,10,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Plastic_explosive,Plastique,215,10,0.9956596394729889,0.00434074100006,0,10,== Discography == | === Albums ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Plastic_explosive,Plastique,215,10,0.9956596394729889,0.00434074100006,0,10,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Plastic_explosive,Plastique,215,10,0.9956596394729889,0.00434074100006,0,10,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Substance100019613,http://dbpedia.org/resource/Plastic_explosive,Plastique,215,10,0.9956596394729889,0.00434074100006,0,10,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatExplosives,http://dbpedia.org/resource/Plastic_explosive,Plastique,215,10,0.9956596394729889,0.00434074100006,0,10,== Discography == | === Albums ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Noir_et_Blanc,Noir Et Blanc,7,3,0.9999999999996448,0.0,0,27,== Discography == | === Live albums ===
http://dbpedia.org/ontology/Film,http://dbpedia.org/resource/Noir_et_Blanc,Noir Et Blanc,7,3,0.9999999999996448,0.0,0,27,== Discography == | === Live albums ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Noir_et_Blanc,Noir Et Blanc,7,3,0.9999999999996448,0.0,0,27,== Discography == | === Live albums ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Noir_et_Blanc,Noir Et Blanc,7,3,0.9999999999996448,0.0,0,27,== Discography == | === Live albums ===
