types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,UNHRC,1630,144,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/WikicatHumanRightsOrganizations,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,UNHRC,1630,144,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/WikicatIntergovernmentalHumanRightsOrganizations,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,UNHRC,1630,144,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/WikicatUnitedNations,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,UNHRC,1630,144,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,UNHRC,1630,144,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,UNHRC,1630,144,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,UNHRC,1630,144,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,UNHRC,1630,144,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,UNHRC,1630,144,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,UNHRC,1630,144,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/PoliticalUnit108359949,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,UNHRC,1630,144,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,UNHRC,1630,144,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/State108168978,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,UNHRC,1630,144,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,UNHRC,1630,144,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/WikicatOrganisationsBasedInGeneva,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,UNHRC,1630,144,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn2006,http://dbpedia.org/resource/United_Nations_Human_Rights_Council,UNHRC,1630,144,1.0,0.0,0,27,== Activism and humanitarian work == | === Activism ===
