types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Criminal_psychology,criminal psychologist,96,130,0.999999999999858,0.0,7,5,== Career == | === Comics ===
http://dbpedia.org/ontology/Book,http://dbpedia.org/resource/Criminal_psychology,criminal psychologist,96,130,0.999999999999858,0.0,7,5,== Career == | === Comics ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Criminal_psychology,criminal psychologist,96,130,0.999999999999858,0.0,7,5,== Career == | === Comics ===
http://dbpedia.org/class/yago/WikicatBranchesOfPsychology,http://dbpedia.org/resource/Criminal_psychology,criminal psychologist,96,130,0.999999999999858,0.0,7,5,== Career == | === Comics ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Criminal_psychology,criminal psychologist,96,130,0.999999999999858,0.0,7,5,== Career == | === Comics ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Criminal_psychology,criminal psychologist,96,130,0.999999999999858,0.0,7,5,== Career == | === Comics ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Criminal_psychology,criminal psychologist,96,130,0.999999999999858,0.0,7,5,== Career == | === Comics ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Criminal_psychology,criminal psychologist,96,130,0.999999999999858,0.0,7,5,== Career == | === Comics ===
http://dbpedia.org/class/yago/AdministrativeUnit108077292,http://dbpedia.org/resource/Criminal_psychology,criminal psychologist,96,130,0.999999999999858,0.0,7,5,== Career == | === Comics ===
http://dbpedia.org/class/yago/Branch108401248,http://dbpedia.org/resource/Criminal_psychology,criminal psychologist,96,130,0.999999999999858,0.0,7,5,== Career == | === Comics ===
http://dbpedia.org/class/yago/Division108220714,http://dbpedia.org/resource/Criminal_psychology,criminal psychologist,96,130,0.999999999999858,0.0,7,5,== Career == | === Comics ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Criminal_psychology,criminal psychologist,96,130,0.999999999999858,0.0,7,5,== Career == | === Comics ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Criminal_psychology,criminal psychologist,96,130,0.999999999999858,0.0,7,5,== Career == | === Comics ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Criminal_psychology,criminal psychologist,96,130,0.999999999999858,0.0,7,5,== Career == | === Comics ===
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/Criminal_psychology,criminal psychologist,96,130,0.999999999999858,0.0,7,5,== Career == | === Comics ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Rodolfo_Damaggio,Rodolfo Damaggio,6,64,1.0,0.0,0,38,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/WikicatPrequelComics,http://dbpedia.org/resource/Before_Watchmen,Before Watchmen,110,0,1.0,0.0,0,51,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Before_Watchmen,Before Watchmen,110,0,1.0,0.0,0,51,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Before_Watchmen,Before Watchmen,110,0,1.0,0.0,0,51,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Before_Watchmen,Before Watchmen,110,0,1.0,0.0,0,51,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Before_Watchmen,Before Watchmen,110,0,1.0,0.0,0,51,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/Comedian109940146,http://dbpedia.org/resource/Before_Watchmen,Before Watchmen,110,0,1.0,0.0,0,51,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Before_Watchmen,Before Watchmen,110,0,1.0,0.0,0,51,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Before_Watchmen,Before Watchmen,110,0,1.0,0.0,0,51,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Before_Watchmen,Before Watchmen,110,0,1.0,0.0,0,51,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Before_Watchmen,Before Watchmen,110,0,1.0,0.0,0,51,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Before_Watchmen,Before Watchmen,110,0,1.0,0.0,0,51,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Before_Watchmen,Before Watchmen,110,0,1.0,0.0,0,51,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Before_Watchmen,Before Watchmen,110,0,1.0,0.0,0,51,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Before_Watchmen,Before Watchmen,110,0,1.0,0.0,0,51,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Fernando_Dagnino_Guerra,Fernando Dagnino,14,25,1.0,0.0,0,84,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Fernando_Dagnino_Guerra,Fernando Dagnino,14,25,1.0,0.0,0,84,== Bibliography == | ==== DC Comics ====
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Fernando_Dagnino_Guerra,Fernando Dagnino,14,25,1.0,0.0,0,84,== Bibliography == | ==== DC Comics ====
