types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Cattleya,Cattleya,291,27,1.0,0.0,0,35,== Discography == | ===== B sides =====
http://dbpedia.org/ontology/Eukaryote,http://dbpedia.org/resource/Cattleya,Cattleya,291,27,1.0,0.0,0,35,== Discography == | ===== B sides =====
http://dbpedia.org/ontology/Insect,http://dbpedia.org/resource/Cattleya,Cattleya,291,27,1.0,0.0,0,35,== Discography == | ===== B sides =====
http://umbel.org/umbel/rc/BiologicalLivingObject,http://dbpedia.org/resource/Cattleya,Cattleya,291,27,1.0,0.0,0,35,== Discography == | ===== B sides =====
http://umbel.org/umbel/rc/EukaryoticCell,http://dbpedia.org/resource/Cattleya,Cattleya,291,27,1.0,0.0,0,35,== Discography == | ===== B sides =====
http://umbel.org/umbel/rc/Plant,http://dbpedia.org/resource/Cattleya,Cattleya,291,27,1.0,0.0,0,35,== Discography == | ===== B sides =====
http://dbpedia.org/class/yago/Angiosperm111665372,http://dbpedia.org/resource/Cattleya,Cattleya,291,27,1.0,0.0,0,35,== Discography == | ===== B sides =====
http://dbpedia.org/class/yago/Flower111669921,http://dbpedia.org/resource/Cattleya,Cattleya,291,27,1.0,0.0,0,35,== Discography == | ===== B sides =====
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Cattleya,Cattleya,291,27,1.0,0.0,0,35,== Discography == | ===== B sides =====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Cattleya,Cattleya,291,27,1.0,0.0,0,35,== Discography == | ===== B sides =====
http://dbpedia.org/class/yago/Orchid112041446,http://dbpedia.org/resource/Cattleya,Cattleya,291,27,1.0,0.0,0,35,== Discography == | ===== B sides =====
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Cattleya,Cattleya,291,27,1.0,0.0,0,35,== Discography == | ===== B sides =====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Cattleya,Cattleya,291,27,1.0,0.0,0,35,== Discography == | ===== B sides =====
http://dbpedia.org/class/yago/Plant100017222,http://dbpedia.org/resource/Cattleya,Cattleya,291,27,1.0,0.0,0,35,== Discography == | ===== B sides =====
http://dbpedia.org/class/yago/Spermatophyte111552386,http://dbpedia.org/resource/Cattleya,Cattleya,291,27,1.0,0.0,0,35,== Discography == | ===== B sides =====
http://dbpedia.org/class/yago/VascularPlant113083586,http://dbpedia.org/resource/Cattleya,Cattleya,291,27,1.0,0.0,0,35,== Discography == | ===== B sides =====
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Cattleya,Cattleya,291,27,1.0,0.0,0,35,== Discography == | ===== B sides =====
http://dbpedia.org/class/yago/WikicatOrchids,http://dbpedia.org/resource/Cattleya,Cattleya,291,27,1.0,0.0,0,35,== Discography == | ===== B sides =====
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Higashinippon_Broadcasting,Higashinippon Broadcasting,8,51,1.0,0.0,1,60,== Appearances == | === TV variety shows ===
http://dbpedia.org/ontology/Broadcaster,http://dbpedia.org/resource/Higashinippon_Broadcasting,Higashinippon Broadcasting,8,51,1.0,0.0,1,60,== Appearances == | === TV variety shows ===
http://dbpedia.org/ontology/TelevisionStation,http://dbpedia.org/resource/Higashinippon_Broadcasting,Higashinippon Broadcasting,8,51,1.0,0.0,1,60,== Appearances == | === TV variety shows ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Higashinippon_Broadcasting,Higashinippon Broadcasting,8,51,1.0,0.0,1,60,== Appearances == | === TV variety shows ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Higashinippon_Broadcasting,Higashinippon Broadcasting,8,51,1.0,0.0,1,60,== Appearances == | === TV variety shows ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Higashinippon_Broadcasting,Higashinippon Broadcasting,8,51,1.0,0.0,1,60,== Appearances == | === TV variety shows ===
http://dbpedia.org/class/yago/BroadcastingStation102903405,http://dbpedia.org/resource/Higashinippon_Broadcasting,Higashinippon Broadcasting,8,51,1.0,0.0,1,60,== Appearances == | === TV variety shows ===
http://dbpedia.org/class/yago/Channel103006398,http://dbpedia.org/resource/Higashinippon_Broadcasting,Higashinippon Broadcasting,8,51,1.0,0.0,1,60,== Appearances == | === TV variety shows ===
http://dbpedia.org/class/yago/Facility103315023,http://dbpedia.org/resource/Higashinippon_Broadcasting,Higashinippon Broadcasting,8,51,1.0,0.0,1,60,== Appearances == | === TV variety shows ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Higashinippon_Broadcasting,Higashinippon Broadcasting,8,51,1.0,0.0,1,60,== Appearances == | === TV variety shows ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Higashinippon_Broadcasting,Higashinippon Broadcasting,8,51,1.0,0.0,1,60,== Appearances == | === TV variety shows ===
http://dbpedia.org/class/yago/Station104306080,http://dbpedia.org/resource/Higashinippon_Broadcasting,Higashinippon Broadcasting,8,51,1.0,0.0,1,60,== Appearances == | === TV variety shows ===
http://dbpedia.org/class/yago/TelevisionStation104406350,http://dbpedia.org/resource/Higashinippon_Broadcasting,Higashinippon Broadcasting,8,51,1.0,0.0,1,60,== Appearances == | === TV variety shows ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Higashinippon_Broadcasting,Higashinippon Broadcasting,8,51,1.0,0.0,1,60,== Appearances == | === TV variety shows ===
http://dbpedia.org/class/yago/WikicatTelevisionChannelsAndStationsEstablishedIn1975,http://dbpedia.org/resource/Higashinippon_Broadcasting,Higashinippon Broadcasting,8,51,1.0,0.0,1,60,== Appearances == | === TV variety shows ===
http://dbpedia.org/class/yago/WikicatTelevisionStationsInJapan,http://dbpedia.org/resource/Higashinippon_Broadcasting,Higashinippon Broadcasting,8,51,1.0,0.0,1,60,== Appearances == | === TV variety shows ===
http://dbpedia.org/ontology/ComicsCharacter,http://dbpedia.org/resource/Horror_(Garo),Jinga,235,14,0.9958152006832436,0.0,0,72,== Appearances == | === Stages ===
