types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAssemblers,http://dbpedia.org/resource/Bit_numbering,LSB,332,57,0.9966358753504344,0.0033751431458846,1,12,== Discography == | === Collaborations ===
http://dbpedia.org/ontology/Convention,http://dbpedia.org/resource/Bit_numbering,LSB,332,57,0.9966358753504344,0.0033751431458846,1,12,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Writing106359877,http://dbpedia.org/resource/Bit_numbering,LSB,332,57,0.9966358753504344,0.0033751431458846,1,12,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Bit_numbering,LSB,332,57,0.9966358753504344,0.0033751431458846,1,12,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Bit_numbering,LSB,332,57,0.9966358753504344,0.0033751431458846,1,12,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Assembler106573337,http://dbpedia.org/resource/Bit_numbering,LSB,332,57,0.9966358753504344,0.0033751431458846,1,12,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Code106355894,http://dbpedia.org/resource/Bit_numbering,LSB,332,57,0.9966358753504344,0.0033751431458846,1,12,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/CodingSystem106353757,http://dbpedia.org/resource/Bit_numbering,LSB,332,57,0.9966358753504344,0.0033751431458846,1,12,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Bit_numbering,LSB,332,57,0.9966358753504344,0.0033751431458846,1,12,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Program106568978,http://dbpedia.org/resource/Bit_numbering,LSB,332,57,0.9966358753504344,0.0033751431458846,1,12,== Discography == | === Collaborations ===
http://dbpedia.org/class/yago/Software106566077,http://dbpedia.org/resource/Bit_numbering,LSB,332,57,0.9966358753504344,0.0033751431458846,1,12,== Discography == | === Collaborations ===
